site,block,level,diversity,transect,sample,treat,bare ,litter
a 4 1 D2 1,a,4,1,D2,1,rainout,0,94.375
a 4 1 D2 2,a,4,1,D2,2,rainout,0,94.375
a 4 1 D2 3,a,4,1,D2,3,rainout,0,94.375
a 4 1 D2 4,a,4,1,D2,4,rainout,0,94.375
a 4 1 D2 5,a,4,1,D2,5,rainout,0,94.375
a 4 1 D3 1,a,4,1,D3,1,biomass_nitrogen,16.375,73.75
a 4 1 D3 2,a,4,1,D3,2,biomass_nitrogen,16.375,73.75
a 4 1 D3 3,a,4,1,D3,3,biomass_nitrogen,16.375,73.75
a 4 1 D3 4,a,4,1,D3,4,biomass_nitrogen,16.375,73.75
a 4 1 D3 5,a,4,1,D3,5,biomass_nitrogen,16.375,73.75
a 4 1 D4 1,a,4,1,D4,1,biomass,0.75,94.375
a 4 1 D4 2,a,4,1,D4,2,biomass,0.75,94.375
a 4 1 D4 3,a,4,1,D4,3,biomass,0.75,94.375
a 4 1 D4 4,a,4,1,D4,4,biomass,0.75,94.375
a 4 1 D4 5,a,4,1,D4,5,biomass,0.75,94.375
b  4 2 D2 1,b,4,2,D2,1,nitrogen,0.75,85.625
b  4 2 D2 2,b,4,2,D2,2,nitrogen,0.75,85.625
b  4 2 D2 3,b,4,2,D2,3,nitrogen,0.75,85.625
b  4 2 D2 4,b,4,2,D2,4,nitrogen,0.75,85.625
b  4 2 D2 5,b,4,2,D2,5,nitrogen,0.75,85.625
b 2 1 C1 1,b,2,1,C1,1,control,0,94.375
b 2 1 C1 2,b,2,1,C1,2,control,0,94.375
b 2 1 C1 3,b,2,1,C1,3,control,0,94.375
b 2 1 C1 4,b,2,1,C1,4,control,0,94.375
b 2 1 C1 5,b,2,1,C1,5,control,0,94.375
b 2 1 C2 1,b,2,1,C2,1,control,0,97.5
b 2 1 C2 2,b,2,1,C2,2,control,0,97.5
b 2 1 C2 3,b,2,1,C2,3,control,0,97.5
b 2 1 C2 4,b,2,1,C2,4,control,0,97.5
b 2 1 C2 5,b,2,1,C2,5,control,0,97.5
b 2 1 D1 1,b,2,1,D1,1,biomass,0,97.5
b 2 1 D1 2,b,2,1,D1,2,biomass,0,97.5
b 2 1 D1 3,b,2,1,D1,3,biomass,0,97.5
b 2 1 D1 4,b,2,1,D1,4,biomass,0,97.5
b 2 1 D1 5,b,2,1,D1,5,biomass,0,97.5
b 2 1 D2 1,b,2,1,D2,1,biomass_nitrogen,0,94.375
b 2 1 D2 2,b,2,1,D2,2,biomass_nitrogen,0,94.375
b 2 1 D2 3,b,2,1,D2,3,biomass_nitrogen,0,94.375
b 2 1 D2 4,b,2,1,D2,4,biomass_nitrogen,0,94.375
b 2 1 D2 5,b,2,1,D2,5,biomass_nitrogen,0,94.375
b 2 1 D3 1,b,2,1,D3,1,nitrogen,0,97.5
b 2 1 D3 2,b,2,1,D3,2,nitrogen,0,97.5
b 2 1 D3 3,b,2,1,D3,3,nitrogen,0,97.5
b 2 1 D3 4,b,2,1,D3,4,nitrogen,0,97.5
b 2 1 D3 5,b,2,1,D3,5,nitrogen,0,97.5
b 2 1 D4 1,b,2,1,D4,1,rainout,1.5,91.25
b 2 1 D4 2,b,2,1,D4,2,rainout,1.5,91.25
b 2 1 D4 3,b,2,1,D4,3,rainout,1.5,91.25
b 2 1 D4 4,b,2,1,D4,4,rainout,1.5,91.25
b 2 1 D4 5,b,2,1,D4,5,rainout,1.5,91.25
b 4 2 C1 1,b,4,2,C1,1,control,0,97.5
b 4 2 C1 2,b,4,2,C1,2,control,0,97.5
b 4 2 C1 3,b,4,2,C1,3,control,0,97.5
b 4 2 C1 4,b,4,2,C1,4,control,0,97.5
b 4 2 C1 5,b,4,2,C1,5,control,0,97.5
b 4 2 C2 1,b,4,2,C2,1,control,0,73.125
b 4 2 C2 2,b,4,2,C2,2,control,0,73.125
b 4 2 C2 3,b,4,2,C2,3,control,0,73.125
b 4 2 C2 4,b,4,2,C2,4,control,0,73.125
b 4 2 C2 5,b,4,2,C2,5,control,0,73.125
b 4 2 D1 1,b,4,2,D1,1,rainout,0,91.25
b 4 2 D1 2,b,4,2,D1,2,rainout,0,91.25
b 4 2 D1 3,b,4,2,D1,3,rainout,0,91.25
b 4 2 D1 4,b,4,2,D1,4,rainout,0,91.25
b 4 2 D1 5,b,4,2,D1,5,rainout,0,91.25
b 4 2 D3 1,b,4,2,D3,1,biomass_nitrogen,0,77.5
b 4 2 D3 2,b,4,2,D3,2,biomass_nitrogen,0,77.5
b 4 2 D3 3,b,4,2,D3,3,biomass_nitrogen,0,77.5
b 4 2 D3 4,b,4,2,D3,4,biomass_nitrogen,0,77.5
b 4 2 D3 5,b,4,2,D3,5,biomass_nitrogen,0,77.5
b 4 2 D4 1,b,4,2,D4,1,biomass,0,97.5
b 4 2 D4 2,b,4,2,D4,2,biomass,0,97.5
b 4 2 D4 3,b,4,2,D4,3,biomass,0,97.5
b 4 2 D4 4,b,4,2,D4,4,biomass,0,97.5
b 4 2 D4 5,b,4,2,D4,5,biomass,0,97.5
c 1 1 C1 1,c,1,1,C1,1,control,0.75,79.375
c 1 1 C1 2,c,1,1,C1,2,control,0.75,79.375
c 1 1 C1 3,c,1,1,C1,3,control,0.75,79.375
c 1 1 C1 4,c,1,1,C1,4,control,0.75,79.375
c 1 1 C1 5,c,1,1,C1,5,control,0.75,79.375
c 1 1 C2 1,c,1,1,C2,1,control,0,85
c 1 1 C2 2,c,1,1,C2,2,control,0,85
c 1 1 C2 3,c,1,1,C2,3,control,0,85
c 1 1 C2 4,c,1,1,C2,4,control,0,85
c 1 1 C2 5,c,1,1,C2,5,control,0,85
c 1 1 D1 1,c,1,1,D1,1,biomass,3.75,85.625
c 1 1 D1 2,c,1,1,D1,2,biomass,3.75,85.625
c 1 1 D1 3,c,1,1,D1,3,biomass,3.75,85.625
c 1 1 D1 4,c,1,1,D1,4,biomass,3.75,85.625
c 1 1 D1 5,c,1,1,D1,5,biomass,3.75,85.625
c 1 1 D2 1,c,1,1,D2,1,nitrogen,0.75,94.375
c 1 1 D2 2,c,1,1,D2,2,nitrogen,0.75,94.375
c 1 1 D2 3,c,1,1,D2,3,nitrogen,0.75,94.375
c 1 1 D2 4,c,1,1,D2,4,nitrogen,0.75,94.375
c 1 1 D2 5,c,1,1,D2,5,nitrogen,0.75,94.375
c 1 1 D3 1,c,1,1,D3,1,biomass_nitrogen,0.75,94.375
c 1 1 D3 2,c,1,1,D3,2,biomass_nitrogen,0.75,94.375
c 1 1 D3 3,c,1,1,D3,3,biomass_nitrogen,0.75,94.375
c 1 1 D3 4,c,1,1,D3,4,biomass_nitrogen,0.75,94.375
c 1 1 D3 5,c,1,1,D3,5,biomass_nitrogen,0.75,94.375
c 1 1 D4 1,c,1,1,D4,1,rainout,0.75,91.25
c 1 1 D4 2,c,1,1,D4,2,rainout,0.75,91.25
c 1 1 D4 3,c,1,1,D4,3,rainout,0.75,91.25
c 1 1 D4 4,c,1,1,D4,4,rainout,0.75,91.25
c 1 1 D4 5,c,1,1,D4,5,rainout,0.75,91.25
c 2 1 D1 1,c,2,1,D1,1,biomass_nitrogen,0,94.375
c 2 1 D1 2,c,2,1,D1,2,biomass_nitrogen,0,94.375
c 2 1 D1 3,c,2,1,D1,3,biomass_nitrogen,0,94.375
c 2 1 D1 4,c,2,1,D1,4,biomass_nitrogen,0,94.375
c 2 1 D1 5,c,2,1,D1,5,biomass_nitrogen,0,94.375
c 2 2 C1 1,c,2,2,C1,1,control,0,97.5
c 2 2 C1 2,c,2,2,C1,2,control,0,97.5
c 2 2 C1 3,c,2,2,C1,3,control,0,97.5
c 2 2 C1 4,c,2,2,C1,4,control,0,97.5
c 2 2 C1 5,c,2,2,C1,5,control,0,97.5
c 2 2 C2 1,c,2,2,C2,1,control,0,94.375
c 2 2 C2 2,c,2,2,C2,2,control,0,94.375
c 2 2 C2 3,c,2,2,C2,3,control,0,94.375
c 2 2 C2 4,c,2,2,C2,4,control,0,94.375
c 2 2 C2 5,c,2,2,C2,5,control,0,94.375
c 2 2 D2 1,c,2,2,D2,1,biomass,0,88.125
c 2 2 D2 2,c,2,2,D2,2,biomass,0,88.125
c 2 2 D2 3,c,2,2,D2,3,biomass,0,88.125
c 2 2 D2 4,c,2,2,D2,4,biomass,0,88.125
c 2 2 D2 5,c,2,2,D2,5,biomass,0,88.125
c 2 2 D3 1,c,2,2,D3,1,nitrogen,0,88.125
c 2 2 D3 2,c,2,2,D3,2,nitrogen,0,88.125
c 2 2 D3 3,c,2,2,D3,3,nitrogen,0,88.125
c 2 2 D3 4,c,2,2,D3,4,nitrogen,0,88.125
c 2 2 D3 5,c,2,2,D3,5,nitrogen,0,88.125
c 2 2 D4 1,c,2,2,D4,1,rainout,0,82.5
c 2 2 D4 2,c,2,2,D4,2,rainout,0,82.5
c 2 2 D4 3,c,2,2,D4,3,rainout,0,82.5
c 2 2 D4 4,c,2,2,D4,4,rainout,0,82.5
c 2 2 D4 5,c,2,2,D4,5,rainout,0,82.5
c 4 1 C1 1,c,4,1,C1,1,control,0,94.375
c 4 1 C1 2,c,4,1,C1,2,control,0,94.375
c 4 1 C1 3,c,4,1,C1,3,control,0,94.375
c 4 1 C1 4,c,4,1,C1,4,control,0,94.375
c 4 1 C1 5,c,4,1,C1,5,control,0,94.375
c 4 1 C2 1,c,4,1,C2,1,control,0,97.5
c 4 1 C2 2,c,4,1,C2,2,control,0,97.5
c 4 1 C2 3,c,4,1,C2,3,control,0,97.5
c 4 1 C2 4,c,4,1,C2,4,control,0,97.5
c 4 1 C2 5,c,4,1,C2,5,control,0,97.5
c 4 1 D1 1,c,4,1,D1,1,rainout,1.5,88.125
c 4 1 D1 2,c,4,1,D1,2,rainout,1.5,88.125
c 4 1 D1 3,c,4,1,D1,3,rainout,1.5,88.125
c 4 1 D1 4,c,4,1,D1,4,rainout,1.5,88.125
c 4 1 D1 5,c,4,1,D1,5,rainout,1.5,88.125
c 4 1 D2 1,c,4,1,D2,1,nitrogen,0,97.5
c 4 1 D2 2,c,4,1,D2,2,nitrogen,0,97.5
c 4 1 D2 3,c,4,1,D2,3,nitrogen,0,97.5
c 4 1 D2 4,c,4,1,D2,4,nitrogen,0,97.5
c 4 1 D2 5,c,4,1,D2,5,nitrogen,0,97.5
c 4 1 D3 1,c,4,1,D3,1,biomass,0,94.375
c 4 1 D3 2,c,4,1,D3,2,biomass,0,94.375
c 4 1 D3 3,c,4,1,D3,3,biomass,0,94.375
c 4 1 D3 4,c,4,1,D3,4,biomass,0,94.375
c 4 1 D3 5,c,4,1,D3,5,biomass,0,94.375
c 4 1 D4 1,c,4,1,D4,1,biomass_nitrogen,4.5,76.875
c 4 1 D4 2,c,4,1,D4,2,biomass_nitrogen,4.5,76.875
c 4 1 D4 3,c,4,1,D4,3,biomass_nitrogen,4.5,76.875
c 4 1 D4 4,c,4,1,D4,4,biomass_nitrogen,4.5,76.875
c 4 1 D4 5,c,4,1,D4,5,biomass_nitrogen,4.5,76.875
