"","block","level","transect","quadrat","taxa","replicate","area.cm","X","unit"
"68","A",1,"D",1,"SONU",3,"30.142","","A 1 D 1 SONU 3"
"69","A",1,"D",1,"SONU",4,"38.208","","A 1 D 1 SONU 4"
"70","A",1,"D",1,"SONU",5,"44.797","","A 1 D 1 SONU 5"
"71","A",1,"D",2,"ANGE",1,"26.387","","A 1 D 2 ANGE 1"
"72","A",1,"D",2,"ANGE",2,"13.736","","A 1 D 2 ANGE 2"
"73","A",1,"D",2,"ANGE",3,"17.383","","A 1 D 2 ANGE 3"
"74","A",1,"D",2,"ANGE",4,"22.548","","A 1 D 2 ANGE 4"
"75","A",1,"D",2,"ANGE",5,"28.543","","A 1 D 2 ANGE 5"
"76","A",1,"D",2,"ANGE",6,"27.62","","A 1 D 2 ANGE 6"
"77","A",1,"D",2,"HEMAX",1,"19.632","","A 1 D 2 HEMAX 1"
"78","A",1,"D",2,"HEMAX",2,"6.432","","A 1 D 2 HEMAX 2"
"79","A",1,"D",2,"HEMAX",3,"9.508","","A 1 D 2 HEMAX 3"
"80","A",1,"D",2,"HEMAX",4,"11.845","","A 1 D 2 HEMAX 4"
"81","A",1,"D",2,"HEMAX",5,"9.91","","A 1 D 2 HEMAX 5"
"82","A",1,"D",2,"MOFI",1,"10.262","","A 1 D 2 MOFI 1"
"83","A",1,"D",2,"MOFI",2,"5.969","","A 1 D 2 MOFI 2"
"84","A",1,"D",2,"MOFI",3,"14.393","","A 1 D 2 MOFI 3"
"85","A",1,"D",2,"MOFI",4,"16.831","","A 1 D 2 MOFI 4"
"86","A",1,"D",2,"MOFI",5,"8.784","","A 1 D 2 MOFI 5"
"87","A",1,"D",2,"SOCA",1,"7.373","","A 1 D 2 SOCA 1"
"88","A",1,"D",2,"SOCA",2,"7.133","","A 1 D 2 SOCA 2"
"89","A",1,"D",2,"SOCA",3,"5.309","","A 1 D 2 SOCA 3"
"90","A",1,"D",2,"SOCA",4,"6.274","","A 1 D 2 SOCA 4"
"91","A",1,"D",2,"SOCA",5,"4.737","","A 1 D 2 SOCA 5"
"92","A",1,"D",2,"SOCA",1,"8.571","","A 1 D 2 SOCA 1"
"93","A",1,"D",2,"SOCA",2,"4.932","","A 1 D 2 SOCA 2"
"94","A",1,"D",2,"SOCA",3,"4.96","","A 1 D 2 SOCA 3"
"95","A",1,"D",2,"SOCA",4,"11.282","","A 1 D 2 SOCA 4"
"96","A",1,"D",2,"SOCA",5,"6.966","","A 1 D 2 SOCA 5"
"97","A",1,"D",2,"SOCA",6,"8.779","","A 1 D 2 SOCA 6"
"98","A",1,"D",2,"SONU",1,"31.002","","A 1 D 2 SONU 1"
"99","A",1,"D",2,"SONU",2,"34.543","","A 1 D 2 SONU 2"
"100","A",1,"D",2,"SONU",3,"40.004","","A 1 D 2 SONU 3"
"101","A",1,"D",2,"SONU",4,"29.976","","A 1 D 2 SONU 4"
"102","A",1,"D",2,"SONU",5,"23.685","","A 1 D 2 SONU 5"
"103","A",1,"D",2,"SONU",6,"19.626","","A 1 D 2 SONU 6"
"104","A",1,"D",3,"ANGE",1,"36.657","","A 1 D 3 ANGE 1"
"105","A",1,"D",3,"ANGE",2,"33.068","","A 1 D 3 ANGE 2"
"106","A",1,"D",3,"ANGE",3,"26.651","","A 1 D 3 ANGE 3"
"107","A",1,"D",3,"ANGE",4,"11.699","","A 1 D 3 ANGE 4"
"108","A",1,"D",3,"ANGE",5,"17.334","","A 1 D 3 ANGE 5"
"109","A",1,"D",3,"HEPA",1,"7.223","","A 1 D 3 HEPA 1"
"110","A",1,"D",3,"HEPA",2,"15.396","","A 1 D 3 HEPA 2"
"111","A",1,"D",3,"HEPA",3,"5.193","","A 1 D 3 HEPA 3"
"112","A",1,"D",3,"HEPA",4,"5.054","","A 1 D 3 HEPA 4"
"113","A",1,"D",3,"HEPA",5,"12.991","","A 1 D 3 HEPA 5"
"114","A",1,"D",3,"MOFI",1,"11.662","","A 1 D 3 MOFI 1"
"115","A",1,"D",3,"MOFI",2,"9.236","","A 1 D 3 MOFI 2"
"116","A",1,"D",3,"MOFI",3,"6.277","","A 1 D 3 MOFI 3"
"117","A",1,"D",3,"MOFI",4,"8.898","","A 1 D 3 MOFI 4"
"118","A",1,"D",3,"MOFI",5,"7.991","","A 1 D 3 MOFI 5"
"119","A",1,"D",3,"SONU",1,"21.195","","A 1 D 3 SONU 1"
"120","A",1,"D",3,"SONU",2,"26.198","","A 1 D 3 SONU 2"
"121","A",1,"D",3,"SONU",3,"18.126","","A 1 D 3 SONU 3"
"122","A",1,"D",3,"SONU",4,"24.911","","A 1 D 3 SONU 4"
"123","A",1,"D",3,"SONU",5,"28.396","","A 1 D 3 SONU 5"
"124","A",1,"D",4,"HEMAX",1,"11.124","","A 1 D 4 HEMAX 1"
"125","A",1,"D",4,"HEMAX",2,"15.362","","A 1 D 4 HEMAX 2"
"126","A",1,"D",4,"HEMAX",3,"14.76","","A 1 D 4 HEMAX 3"
"127","A",1,"D",4,"HEMAX",4,"12.166","","A 1 D 4 HEMAX 4"
"128","A",1,"D",4,"HEMAX",5,"14.267","","A 1 D 4 HEMAX 5"
"129","A",1,"D",4,"HEPA",1,"11.124","","A 1 D 4 HEPA 1"
"130","A",1,"D",4,"HEPA",2,"15.362","","A 1 D 4 HEPA 2"
"131","A",1,"D",4,"HEPA",3,"14.76","","A 1 D 4 HEPA 3"
"132","A",1,"D",4,"HEPA",4,"12.166","","A 1 D 4 HEPA 4"
"133","A",1,"D",4,"HEPA",5,"14.267","","A 1 D 4 HEPA 5"
"134","A",1,"D",4,"SOCA",1,"4.58","","A 1 D 4 SOCA 1"
"135","A",1,"D",4,"SOCA",2,"7.884","","A 1 D 4 SOCA 2"
"136","A",1,"D",4,"SOCA",3,"8.591","","A 1 D 4 SOCA 3"
"137","A",1,"D",4,"SOCA",4,"10.39","","A 1 D 4 SOCA 4"
"138","A",1,"D",4,"SOCA",5,"8.028","","A 1 D 4 SOCA 5"
"139","A",3,"C",1,"ANGE",1,"15.404","","A 3 C 1 ANGE 1"
"140","A",3,"C",1,"ANGE",2,"27.093","","A 3 C 1 ANGE 2"
"141","A",3,"C",1,"ANGE",3,"19.304","","A 3 C 1 ANGE 3"
"142","A",3,"C",1,"ANGE",4,"22.377","","A 3 C 1 ANGE 4"
"143","A",3,"C",1,"ANGE",5,"14.18","","A 3 C 1 ANGE 5"
"144","A",3,"C",1,"ANGE",6,"18.647","","A 3 C 1 ANGE 6"
"145","A",3,"C",1,"HEMAX",1,"7.94","","A 3 C 1 HEMAX 1"
"146","A",3,"C",1,"HEMAX",2,"7.775","","A 3 C 1 HEMAX 2"
"147","A",3,"C",1,"HEMAX",3,"5.141","","A 3 C 1 HEMAX 3"
"148","A",3,"C",1,"HEMAX",4,"6.125","","A 3 C 1 HEMAX 4"
"149","A",3,"C",1,"HEMAX",5,"6.315","","A 3 C 1 HEMAX 5"
"150","A",3,"C",1,"Rosinweed",1,"15.294","","A 3 C 1 Rosinweed 1"
"151","A",3,"C",1,"Rosinweed",2,"17.975","","A 3 C 1 Rosinweed 2"
"152","A",3,"C",1,"Rosinweed",3,"23.806","Redo? Sample includes SA of ""we"" in rosinweed","A 3 C 1 Rosinweed 3"
"153","A",3,"C",1,"Rosinweed",4,"13.482","","A 3 C 1 Rosinweed 4"
"154","A",3,"C",1,"Rosinweed",5,"14.127","","A 3 C 1 Rosinweed 5"
"155","A",3,"C",1,"SONU",1,"37.59","","A 3 C 1 SONU 1"
"156","A",3,"C",1,"SONU",2,"40.812","","A 3 C 1 SONU 2"
"157","A",3,"C",1,"SONU",3,"17.671","","A 3 C 1 SONU 3"
"158","A",3,"C",1,"SONU",4,"34.565","","A 3 C 1 SONU 4"
"159","A",3,"C",1,"SONU",5,"19.412","","A 3 C 1 SONU 5"
"160","A",3,"C",2,"ANGE",1,"18.415","","A 3 C 2 ANGE 1"
"161","A",3,"C",2,"ANGE",2,"22.217","","A 3 C 2 ANGE 2"
"162","A",3,"C",2,"ANGE",3,"11.087","","A 3 C 2 ANGE 3"
"163","A",3,"C",2,"ANGE",4,"9.75","","A 3 C 2 ANGE 4"
"164","A",3,"C",2,"ANGE",5,"11.72","","A 3 C 2 ANGE 5"
"165","A",3,"C",2,"HEMAX",1,"12.47","","A 3 C 2 HEMAX 1"
"166","A",3,"C",2,"HEMAX",2,"12.475","","A 3 C 2 HEMAX 2"
"167","A",3,"C",2,"HEMAX",3,"4.806","","A 3 C 2 HEMAX 3"
"168","A",3,"C",2,"HEMAX",4,"7.443","","A 3 C 2 HEMAX 4"
"169","A",3,"C",2,"HEMAX",5,"11.407","","A 3 C 2 HEMAX 5"
"170","A",3,"C",2,"MOFI",1,"8.665","","A 3 C 2 MOFI 1"
"171","A",3,"C",2,"MOFI",2,"15.47","","A 3 C 2 MOFI 2"
"172","A",3,"C",2,"MOFI",3,"11.242","","A 3 C 2 MOFI 3"
"173","A",3,"C",2,"MOFI",4,"6.288","","A 3 C 2 MOFI 4"
"174","A",3,"C",2,"MOFI",5,"9.36","","A 3 C 2 MOFI 5"
"175","A",3,"C",2,"MOFI",6,"4.775","","A 3 C 2 MOFI 6"
"176","A",3,"C",2,"SOMI",1,"7.164","","A 3 C 2 SOMI 1"
"177","A",3,"C",2,"SOMI",2,"6.659","","A 3 C 2 SOMI 2"
"178","A",3,"C",2,"SOMI",3,"3.931","","A 3 C 2 SOMI 3"
"179","A",3,"C",2,"SOMI",4,"9.469","","A 3 C 2 SOMI 4"
"180","A",3,"C",2,"SOMI",5,"6.857","","A 3 C 2 SOMI 5"
"181","A",3,"C",2,"SONU",1,"36.89","","A 3 C 2 SONU 1"
"182","A",3,"C",2,"SONU",2,"24.689","","A 3 C 2 SONU 2"
"183","A",3,"C",2,"SONU",3,"15.957","","A 3 C 2 SONU 3"
"184","A",3,"C",2,"SONU",4,"31.229","","A 3 C 2 SONU 4"
"185","A",3,"C",2,"SONU",5,"28.907","","A 3 C 2 SONU 5"
"186","A",3,"D",1,"ANGE",1,"21.975","","A 3 D 1 ANGE 1"
"187","A",3,"D",1,"ANGE",2,"23.161","","A 3 D 1 ANGE 2"
"188","A",3,"D",1,"ANGE",3,"25.939","","A 3 D 1 ANGE 3"
"189","A",3,"D",1,"ANGE",4,"29.814","","A 3 D 1 ANGE 4"
"190","A",3,"D",1,"ANGE",5,"18.325","","A 3 D 1 ANGE 5"
"191","A",3,"D",1,"ANGE",6,"17.981","","A 3 D 1 ANGE 6"
"192","A",3,"D",1,"HEMAX",1,"3.58","","A 3 D 1 HEMAX 1"
"193","A",3,"D",1,"HEMAX",2,"7.393","","A 3 D 1 HEMAX 2"
"194","A",3,"D",1,"HEMAX",3,"17.511","","A 3 D 1 HEMAX 3"
"195","A",3,"D",1,"HEMAX",4,"8.397","","A 3 D 1 HEMAX 4"
"196","A",3,"D",1,"HEMAX",5,"16.417","","A 3 D 1 HEMAX 5"
"197","A",3,"D",2,"Solidago",1,"22.878","","A 3 D 2 Solidago 1"
"198","A",3,"D",2,"Solidago",2,"12.348","","A 3 D 2 Solidago 2"
"199","A",3,"D",2,"Solidago",3,"16.859","","A 3 D 2 Solidago 3"
"200","A",3,"D",2,"Solidago",4,"17.434","","A 3 D 2 Solidago 4"
"201","A",3,"D",2,"Solidago",5,"15.474","","A 3 D 2 Solidago 5"
"202","A",3,"D",2,"SOMI",1,"11.638","","A 3 D 2 SOMI 1"
"203","A",3,"D",2,"SOMI",2,"9.828","","A 3 D 2 SOMI 2"
"204","A",3,"D",2,"SOMI",3,"3.686","","A 3 D 2 SOMI 3"
"205","A",3,"D",2,"SOMI",4,"4.515","","A 3 D 2 SOMI 4"
"206","A",3,"D",2,"SOMI",5,"4.483","","A 3 D 2 SOMI 5"
"207","A",3,"D",2,"SONU",1,"37.604","","A 3 D 2 SONU 1"
"208","A",3,"D",2,"SONU",2,"50.957","","A 3 D 2 SONU 2"
"209","A",3,"D",2,"SONU",3,"28.729","","A 3 D 2 SONU 3"
"210","A",3,"D",2,"SONU",4,"41.238","","A 3 D 2 SONU 4"
"211","A",3,"D",2,"SONU",5,"28.62","","A 3 D 2 SONU 5"
"212","A",3,"D",3,"ANGE",1,"20.787","","A 3 D 3 ANGE 1"
"213","A",3,"D",3,"ANGE",2,"19.13","","A 3 D 3 ANGE 2"
"214","A",3,"D",3,"ANGE",3,"20.93","","A 3 D 3 ANGE 3"
"215","A",3,"D",3,"ANGE",4,"30.859","","A 3 D 3 ANGE 4"
"216","A",3,"D",3,"ANGE",5,"16.891","","A 3 D 3 ANGE 5"
"217","A",3,"D",3,"Forb",1,"6.672","","A 3 D 3 Forb 1"
"218","A",3,"D",3,"Forb",2,"6.865","","A 3 D 3 Forb 2"
"219","A",3,"D",3,"Forb",3,"5.824","","A 3 D 3 Forb 3"
"220","A",3,"D",3,"Forb",4,"6.177","","A 3 D 3 Forb 4"
"221","A",3,"D",3,"Forb",5,"7.49","","A 3 D 3 Forb 5"
"222","A",3,"D",3,"MOFI",1,"8.322","","A 3 D 3 MOFI 1"
"223","A",3,"D",3,"MOFI",2,"13.682","","A 3 D 3 MOFI 2"
"224","A",3,"D",3,"MOFI",3,"5.902","","A 3 D 3 MOFI 3"
"225","A",3,"D",3,"MOFI",4,"6.832","","A 3 D 3 MOFI 4"
"226","A",3,"D",3,"MOFI",5,"14.452","","A 3 D 3 MOFI 5"
"227","A",3,"D",3,"SONU",1,"41.692","","A 3 D 3 SONU 1"
"228","A",3,"D",3,"SONU",2,"34.242","","A 3 D 3 SONU 2"
"229","A",3,"D",3,"SONU",3,"41.902","","A 3 D 3 SONU 3"
"230","A",3,"D",3,"SONU",4,"23.01","","A 3 D 3 SONU 4"
"231","A",3,"D",3,"SONU",5,"33.787","","A 3 D 3 SONU 5"
"232","A",3,"D",4,"ANGE",1,"23.69","","A 3 D 4 ANGE 1"
"233","A",3,"D",4,"ANGE",2,"20.767","","A 3 D 4 ANGE 2"
"234","A",3,"D",4,"ANGE",3,"31.732","","A 3 D 4 ANGE 3"
"235","A",3,"D",4,"ANGE",4,"27.99","","A 3 D 4 ANGE 4"
"236","A",3,"D",4,"ANGE",5,"23.012","","A 3 D 4 ANGE 5"
"237","A",3,"D",4,"HEMAX",1,"4.737","","A 3 D 4 HEMAX 1"
"238","A",3,"D",4,"HEMAX",2,"13.599","","A 3 D 4 HEMAX 2"
"239","A",3,"D",4,"HEMAX",3,"3.244","","A 3 D 4 HEMAX 3"
"240","A",3,"D",4,"HEMAX",4,"9.727","","A 3 D 4 HEMAX 4"
"241","A",3,"D",4,"HEMAX",5,"4.515","","A 3 D 4 HEMAX 5"
"242","A",3,"D",4,"MOFI",1,"18.691","","A 3 D 4 MOFI 1"
"243","A",3,"D",4,"MOFI",2,"12.744","","A 3 D 4 MOFI 2"
"244","A",3,"D",4,"MOFI",3,"19.196","","A 3 D 4 MOFI 3"
"245","A",3,"D",4,"MOFI",4,"14.954","","A 3 D 4 MOFI 4"
"246","A",3,"D",4,"MOFI",5,"14.376","","A 3 D 4 MOFI 5"
"247","A",3,"D",4,"SOMI",1,"11.309","","A 3 D 4 SOMI 1"
"248","A",3,"D",4,"SOMI",2,"Redo - sample includes ruler","","A 3 D 4 SOMI 2"
"249","A",3,"D",4,"SOMI",3,"6.626","","A 3 D 4 SOMI 3"
"250","A",3,"D",4,"SOMI",4,"5.29","","A 3 D 4 SOMI 4"
"251","A",3,"D",4,"SOMI",5,"5.768","","A 3 D 4 SOMI 5"
"252","A",3,"D",4,"SONU",1,"25.848","","A 3 D 4 SONU 1"
"253","A",3,"D",4,"SONU",2,"21.741","","A 3 D 4 SONU 2"
"254","A",3,"D",4,"SONU",3,"30.096","","A 3 D 4 SONU 3"
"255","A",3,"D",4,"SONU",4,"24.341","","A 3 D 4 SONU 4"
"256","A",4,"C",1,"ANGE",1,"20.577","","A 4 C 1 ANGE 1"
"257","A",4,"C",1,"ANGE",2,"16.781","","A 4 C 1 ANGE 2"
"258","A",4,"C",1,"ANGE",3,"18.14","","A 4 C 1 ANGE 3"
"259","A",4,"C",1,"ANGE",4,"11.639","","A 4 C 1 ANGE 4"
"260","A",4,"C",1,"ANGE",5,"15.98","","A 4 C 1 ANGE 5"
"261","A",4,"C",1,"Solidago",1,"5.005","","A 4 C 1 Solidago 1"
"262","A",4,"C",1,"Solidago",2,"8.192","","A 4 C 1 Solidago 2"
"263","A",4,"C",1,"Solidago",3,"5.724","","A 4 C 1 Solidago 3"
"264","A",4,"C",1,"Solidago",4,"7.734","","A 4 C 1 Solidago 4"
"265","A",4,"C",1,"Solidago",5,"4.139","","A 4 C 1 Solidago 5"
"266","A",4,"C",2,"ANGE",1,"18.884","","A 4 C 2 ANGE 1"
"267","A",4,"C",2,"ANGE",2,"19.706","","A 4 C 2 ANGE 2"
"268","A",4,"C",2,"ANGE",3,"21.409","","A 4 C 2 ANGE 3"
"269","A",4,"C",2,"ANGE",4,"18.066","","A 4 C 2 ANGE 4"
"270","A",4,"C",2,"ANGE",5,"23.283","","A 4 C 2 ANGE 5"
"271","A",4,"C",2,"Solidago",1,"8.758","","A 4 C 2 Solidago 1"
"272","A",4,"C",2,"Solidago",2,"5.428","","A 4 C 2 Solidago 2"
"273","A",4,"C",2,"Solidago",3,"5.469","","A 4 C 2 Solidago 3"
"274","A",4,"C",2,"Solidago",4,"7.102","","A 4 C 2 Solidago 4"
"275","A",4,"C",2,"Solidago",5,"4.387","","A 4 C 2 Solidago 5"
"276","A",4,"D",1,"ANGE",1,"26.93","","A 4 D 1 ANGE 1"
"277","A",4,"D",1,"ANGE",2,"22.142","","A 4 D 1 ANGE 2"
"278","A",4,"D",1,"ANGE",3,"26.859","","A 4 D 1 ANGE 3"
"279","A",4,"D",1,"ANGE",4,"32.56","","A 4 D 1 ANGE 4"
"280","A",4,"D",1,"ANGE",5,"22.759","","A 4 D 1 ANGE 5"
"281","A",4,"D",1,"Solidago",1,"7.719","","A 4 D 1 Solidago 1"
"282","A",4,"D",1,"Solidago",2,"10.999","","A 4 D 1 Solidago 2"
"283","A",4,"D",1,"Solidago",3,"7.057","","A 4 D 1 Solidago 3"
"284","A",4,"D",1,"Solidago",4,"9.16","","A 4 D 1 Solidago 4"
"285","A",4,"D",2,"ANGE",1,"30.788","","A 4 D 2 ANGE 1"
"286","A",4,"D",2,"ANGE",2,"21.308","","A 4 D 2 ANGE 2"
"287","A",4,"D",2,"ANGE",3,"25.237","","A 4 D 2 ANGE 3"
"288","A",4,"D",2,"ANGE",4,"20.359","","A 4 D 2 ANGE 4"
"289","A",4,"D",2,"ANGE",5,"18.927","","A 4 D 2 ANGE 5"
"290","A",4,"D",2,"Solidago",1,"5.24","","A 4 D 2 Solidago 1"
"291","A",4,"D",2,"Solidago",2,"5.96","","A 4 D 2 Solidago 2"
"292","A",4,"D",2,"Solidago",3,"5.584","","A 4 D 2 Solidago 3"
"293","A",4,"D",2,"Solidago",4,"6.712","","A 4 D 2 Solidago 4"
"294","A",4,"D",2,"Solidago",5,"5.877","","A 4 D 2 Solidago 5"
"295","A",4,"D",3,"ANGE",1,"34.562","","A 4 D 3 ANGE 1"
"296","A",4,"D",3,"ANGE",2,"24.069","","A 4 D 3 ANGE 2"
"297","A",4,"D",3,"ANGE",3,"18.656","","A 4 D 3 ANGE 3"
"298","A",4,"D",3,"ANGE",4,"29.836","","A 4 D 3 ANGE 4"
"299","A",4,"D",3,"ANGE",5,"27.299","","A 4 D 3 ANGE 5"
"300","A",4,"D",3,"Solidago",1,"6.223","","A 4 D 3 Solidago 1"
"301","A",4,"D",3,"Solidago",2,"6.311","","A 4 D 3 Solidago 2"
"302","A",4,"D",3,"Solidago",3,"8.84","","A 4 D 3 Solidago 3"
"303","A",4,"D",3,"Solidago",4,"6.651","","A 4 D 3 Solidago 4"
"304","A",4,"D",3,"Solidago",5,"5.807","","A 4 D 3 Solidago 5"
"305","A",4,"D",4,"ANGE",1,"22.365","","A 4 D 4 ANGE 1"
"306","A",4,"D",4,"ANGE",2,"20.034","","A 4 D 4 ANGE 2"
"307","A",4,"D",4,"ANGE",3,"11.548","","A 4 D 4 ANGE 3"
"308","A",4,"D",4,"ANGE",4,"15.337","","A 4 D 4 ANGE 4"
"309","A",4,"D",4,"ANGE",5,"13.302","","A 4 D 4 ANGE 5"
"310","A",4,"D",4,"Solidago",1,"4.262","","A 4 D 4 Solidago 1"
"311","A",4,"D",4,"Solidago",2,"3.91","","A 4 D 4 Solidago 2"
"312","A",4,"D",4,"Solidago",3,"6.948","","A 4 D 4 Solidago 3"
"313","A",4,"D",4,"Solidago",4,"8.03","","A 4 D 4 Solidago 4"
"314","A",4,"D",4,"Solidago",5,"3.739","","A 4 D 4 Solidago 5"
"315","A",4,"D",4,"Solidago",6,"6.672","","A 4 D 4 Solidago 6"
"316","B",2,"C",1,"ANGE",1,"19.581","","B 2 C 1 ANGE 1"
"317","B",2,"C",1,"ANGE",2,"32.09","","B 2 C 1 ANGE 2"
"318","B",2,"C",1,"ANGE",3,"20.933","","B 2 C 1 ANGE 3"
"319","B",2,"C",1,"ANGE",4,"31.453","","B 2 C 1 ANGE 4"
"320","B",2,"C",1,"ANGE",5,"28.586","","B 2 C 1 ANGE 5"
"321","B",2,"C",1,"Solidago",1,"4.598","","B 2 C 1 Solidago 1"
"322","B",2,"C",1,"Solidago",2,"2.574","","B 2 C 1 Solidago 2"
"323","B",2,"C",1,"Solidago",3,"7.739","","B 2 C 1 Solidago 3"
"324","B",2,"C",1,"Solidago",4,"7.721","","B 2 C 1 Solidago 4"
"325","B",2,"C",1,"Solidago",5,"9.152","","B 2 C 1 Solidago 5"
"326","B",2,"D",1,"ANGE",1,"27.586","","B 2 D 1 ANGE 1"
"327","B",2,"D",1,"ANGE",2,"20.536","","B 2 D 1 ANGE 2"
"328","B",2,"D",1,"ANGE",3,"14.511","","B 2 D 1 ANGE 3"
"329","B",2,"D",1,"ANGE",4,"20.399","","B 2 D 1 ANGE 4"
"330","B",2,"D",1,"ANGE",5,"17.785","","B 2 D 1 ANGE 5"
