,unit,date,block,level,diversity,transect,quadrat,treat,taxa,replicate,area.cm,weight.0.00g
171,A 1 D 3 MOFI,7/4/2016,A,1,2,D,3,biomass,MOFI,2,9.236,0.04
172,A 1 D 3 MOFI,7/4/2016,A,1,2,D,3,biomass,MOFI,2,9.236,0.04
173,A 1 D 3 MOFI,7/4/2016,A,1,2,D,3,biomass,MOFI,2,9.236,0.04
174,A 1 D 3 MOFI,7/4/2016,A,1,2,D,3,biomass,MOFI,2,9.236,0.05
175,A 1 D 3 MOFI,7/4/2016,A,1,2,D,3,biomass,MOFI,2,9.236,0.07
176,A 1 D 3 MOFI,7/4/2016,A,1,2,D,3,biomass,MOFI,4,8.898,0.04
177,A 1 D 3 MOFI,7/4/2016,A,1,2,D,3,biomass,MOFI,4,8.898,0.04
178,A 1 D 3 MOFI,7/4/2016,A,1,2,D,3,biomass,MOFI,4,8.898,0.04
179,A 1 D 3 MOFI,7/4/2016,A,1,2,D,3,biomass,MOFI,4,8.898,0.05
180,A 1 D 3 MOFI,7/4/2016,A,1,2,D,3,biomass,MOFI,4,8.898,0.07
181,A 1 D 3 SONU,7/4/2016,A,1,2,D,3,biomass,SONU,4,24.911,0.21
182,A 1 D 3 SONU,7/4/2016,A,1,2,D,3,biomass,SONU,4,24.911,0.14
183,A 1 D 3 SONU,7/4/2016,A,1,2,D,3,biomass,SONU,4,24.911,0.16
184,A 1 D 3 SONU,7/4/2016,A,1,2,D,3,biomass,SONU,4,24.911,0.21
185,A 1 D 3 SONU,7/4/2016,A,1,2,D,3,biomass,SONU,4,24.911,0.14
186,A 1 D 3 SONU,7/4/2016,A,1,2,D,3,biomass,SONU,2,26.198,0.21
187,A 1 D 3 SONU,7/4/2016,A,1,2,D,3,biomass,SONU,2,26.198,0.14
188,A 1 D 3 SONU,7/4/2016,A,1,2,D,3,biomass,SONU,2,26.198,0.16
189,A 1 D 3 SONU,7/4/2016,A,1,2,D,3,biomass,SONU,2,26.198,0.21
190,A 1 D 3 SONU,7/4/2016,A,1,2,D,3,biomass,SONU,2,26.198,0.14
191,A 1 D 3 SONU,7/4/2016,A,1,2,D,3,biomass,SONU,3,18.126,0.21
192,A 1 D 3 SONU,7/4/2016,A,1,2,D,3,biomass,SONU,3,18.126,0.14
193,A 1 D 3 SONU,7/4/2016,A,1,2,D,3,biomass,SONU,3,18.126,0.16
194,A 1 D 3 SONU,7/4/2016,A,1,2,D,3,biomass,SONU,3,18.126,0.21
195,A 1 D 3 SONU,7/4/2016,A,1,2,D,3,biomass,SONU,3,18.126,0.14
196,A 1 D 3 SONU,7/4/2016,A,1,2,D,3,biomass,SONU,1,21.195,0.21
197,A 1 D 3 SONU,7/4/2016,A,1,2,D,3,biomass,SONU,1,21.195,0.14
198,A 1 D 3 SONU,7/4/2016,A,1,2,D,3,biomass,SONU,1,21.195,0.16
199,A 1 D 3 SONU,7/4/2016,A,1,2,D,3,biomass,SONU,1,21.195,0.21
200,A 1 D 3 SONU,7/4/2016,A,1,2,D,3,biomass,SONU,1,21.195,0.14
201,A 1 D 3 SONU,7/4/2016,A,1,2,D,3,biomass,SONU,5,28.396,0.21
202,A 1 D 3 SONU,7/4/2016,A,1,2,D,3,biomass,SONU,5,28.396,0.14
203,A 1 D 3 SONU,7/4/2016,A,1,2,D,3,biomass,SONU,5,28.396,0.16
204,A 1 D 3 SONU,7/4/2016,A,1,2,D,3,biomass,SONU,5,28.396,0.21
205,A 1 D 3 SONU,7/4/2016,A,1,2,D,3,biomass,SONU,5,28.396,0.14
206,A 1 D 4 HEMAX,7/4/2016,A,1,2,D,4,bn,HEMAX,5,14.267,0.12
207,A 1 D 4 HEMAX,7/4/2016,A,1,2,D,4,bn,HEMAX,5,14.267,0.1
208,A 1 D 4 HEMAX,7/4/2016,A,1,2,D,4,bn,HEMAX,5,14.267,0.07
209,A 1 D 4 HEMAX,7/4/2016,A,1,2,D,4,bn,HEMAX,5,14.267,0.12
210,A 1 D 4 HEMAX,7/4/2016,A,1,2,D,4,bn,HEMAX,5,14.267,0.09
211,A 1 D 4 HEMAX,7/4/2016,A,1,2,D,4,bn,HEMAX,4,12.166,0.12
212,A 1 D 4 HEMAX,7/4/2016,A,1,2,D,4,bn,HEMAX,4,12.166,0.1
213,A 1 D 4 HEMAX,7/4/2016,A,1,2,D,4,bn,HEMAX,4,12.166,0.07
214,A 1 D 4 HEMAX,7/4/2016,A,1,2,D,4,bn,HEMAX,4,12.166,0.12
215,A 1 D 4 HEMAX,7/4/2016,A,1,2,D,4,bn,HEMAX,4,12.166,0.09
216,A 1 D 4 HEMAX,7/4/2016,A,1,2,D,4,bn,HEMAX,2,15.362,0.12
217,A 1 D 4 HEMAX,7/4/2016,A,1,2,D,4,bn,HEMAX,2,15.362,0.1
218,A 1 D 4 HEMAX,7/4/2016,A,1,2,D,4,bn,HEMAX,2,15.362,0.07
219,A 1 D 4 HEMAX,7/4/2016,A,1,2,D,4,bn,HEMAX,2,15.362,0.12
220,A 1 D 4 HEMAX,7/4/2016,A,1,2,D,4,bn,HEMAX,2,15.362,0.09
221,A 1 D 4 HEMAX,7/4/2016,A,1,2,D,4,bn,HEMAX,1,11.124,0.12
222,A 1 D 4 HEMAX,7/4/2016,A,1,2,D,4,bn,HEMAX,1,11.124,0.1
223,A 1 D 4 HEMAX,7/4/2016,A,1,2,D,4,bn,HEMAX,1,11.124,0.07
224,A 1 D 4 HEMAX,7/4/2016,A,1,2,D,4,bn,HEMAX,1,11.124,0.12
225,A 1 D 4 HEMAX,7/4/2016,A,1,2,D,4,bn,HEMAX,1,11.124,0.09
226,A 1 D 4 HEMAX,7/4/2016,A,1,2,D,4,bn,HEMAX,3,14.76,0.12
227,A 1 D 4 HEMAX,7/4/2016,A,1,2,D,4,bn,HEMAX,3,14.76,0.1
228,A 1 D 4 HEMAX,7/4/2016,A,1,2,D,4,bn,HEMAX,3,14.76,0.07
229,A 1 D 4 HEMAX,7/4/2016,A,1,2,D,4,bn,HEMAX,3,14.76,0.12
230,A 1 D 4 HEMAX,7/4/2016,A,1,2,D,4,bn,HEMAX,3,14.76,0.09
231,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,4,10.39,0.03
232,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,4,10.39,0.06
233,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,4,10.39,0.03
234,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,4,10.39,0.05
235,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,4,10.39,0.02
236,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,5,8.028,0.03
237,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,5,8.028,0.06
238,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,5,8.028,0.03
239,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,5,8.028,0.05
240,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,5,8.028,0.02
241,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,1,4.58,0.03
242,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,1,4.58,0.06
243,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,1,4.58,0.03
244,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,1,4.58,0.05
245,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,1,4.58,0.02
246,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,2,7.884,0.03
247,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,2,7.884,0.06
248,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,2,7.884,0.03
249,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,2,7.884,0.05
250,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,2,7.884,0.02
251,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,5,8.028,0.03
252,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,5,8.028,0.06
253,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,5,8.028,0.03
254,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,5,8.028,0.05
255,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,5,8.028,0.02
256,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,3,8.591,0.03
257,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,3,8.591,0.06
258,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,3,8.591,0.03
259,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,3,8.591,0.05
260,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,3,8.591,0.02
261,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,4,10.39,0.03
262,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,4,10.39,0.06
263,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,4,10.39,0.03
264,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,4,10.39,0.05
265,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,4,10.39,0.02
266,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,2,7.884,0.03
267,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,2,7.884,0.06
268,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,2,7.884,0.03
269,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,2,7.884,0.05
270,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,2,7.884,0.02
271,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,1,4.58,0.03
272,A 1 D 4 SOCA,7/4/2016,A,1,2,D,4,bn,SOCA,1,4.58,0.06
