block,level,diversity,transect,quadrat,treat,taxa,replicate,weight.0.00g.,unit
B,2,1,D,1,biomass,Solidago,2,0.04,B 2 D 1 Solidago
B,2,1,D,1,biomass,Solidago,3,0.03,B 2 D 1 Solidago
B,2,1,D,1,biomass,Solidago,4,0.06,B 2 D 1 Solidago
B,2,1,D,1,biomass,Solidago,5,0.04,B 2 D 1 Solidago
A,3,2,D,1,biomass,SOCA,1,0.03,A 3 D 1 SOCA
A,3,2,D,1,biomass,SOCA,2,0.03,A 3 D 1 SOCA
A,3,2,D,1,biomass,SOCA,3,0.04,A 3 D 1 SOCA
A,3,2,D,1,biomass,SOCA,4,NODATA,A 3 D 1 SOCA
A,3,2,D,1,biomass,SOCA,5,NODATA,A 3 D 1 SOCA
A,3,2,D,1,biomass,MOFI,1,0.02,A 3 D 1 MOFI
A,3,2,D,1,biomass,MOFI,2,NODATA,A 3 D 1 MOFI
A,3,2,D,1,biomass,MOFI,3,0.01,A 3 D 1 MOFI
A,3,2,D,1,biomass,MOFI,4,0.009,A 3 D 1 MOFI
A,1,2,D,4,bn,SOCA,1,0.02,A 1 D 4 SOCA
A,1,2,D,4,bn,SOCA,2,0.03,A 1 D 4 SOCA
A,1,2,D,4,bn,SOCA,3,0.05,A 1 D 4 SOCA
A,1,2,D,4,bn,SOCA,4,0.06,A 1 D 4 SOCA
A,1,2,D,4,bn,SOCA,5,0.03,A 1 D 4 SOCA
A,1,2,D,4,bn,HEMAX,1,0.07,A 1 D 4 HEMAX
A,1,2,D,4,bn,HEMAX,2,0.12,A 1 D 4 HEMAX
A,1,2,D,4,bn,HEMAX,3,0.12,A 1 D 4 HEMAX
A,1,2,D,4,bn,HEMAX,4,0.09,A 1 D 4 HEMAX
A,1,2,D,4,bn,HEMAX,5,0.1,A 1 D 4 HEMAX
C,2,2,D,2,biomass,MOFI,1,0.04,C 2 D 2 MOFI
C,2,2,D,2,biomass,MOFI,2,0.04,C 2 D 2 MOFI
C,2,2,D,2,biomass,MOFI,3,0.04,C 2 D 2 MOFI
C,2,2,D,2,biomass,MOFI,4,0.04,C 2 D 2 MOFI
C,2,2,D,2,biomass,MOFI,5,0.04,C 2 D 2 MOFI
C,2,2,D,2,biomass,SOMI,1,0.09,C 2 D 2 SOMI
C,2,2,D,2,biomass,SOMI,2,0.05,C 2 D 2 SOMI
C,2,2,D,2,biomass,SOMI,3,0.03,C 2 D 2 SOMI
C,2,2,D,2,biomass,SOMI,4,0.02,C 2 D 2 SOMI
C,2,2,D,2,biomass,SOMI,5,0.05,C 2 D 2 SOMI
C,2,2,D,1,bn,SOGI,1,0.04,C 2 D 1 SOGI
C,2,2,D,1,bn,SOGI,2,0.06,C 2 D 1 SOGI
C,2,2,D,1,bn,SOGI,3,0.03,C 2 D 1 SOGI
C,2,2,D,1,bn,SOGI,4,0.03,C 2 D 1 SOGI
C,2,2,D,1,bn,SOGI,5,0.02,C 2 D 1 SOGI
C,2,2,D,1,bn,MOFI,1,0.06,C 2 D 1 MOFI
C,2,2,D,1,bn,MOFI,2,0.07,C 2 D 1 MOFI
C,2,2,D,1,bn,MOFI,3,0.05,C 2 D 1 MOFI
C,2,2,D,1,bn,MOFI,4,0.06,C 2 D 1 MOFI
C,2,2,D,1,bn,MOFI,5,0.03,C 2 D 1 MOFI
B,4,2,D,3,bn,MOFI,1,0.04,B 4 D 3 MOFI
B,4,2,D,3,bn,MOFI,2,0.04,B 4 D 3 MOFI
B,4,2,D,3,bn,MOFI,3,0.05,B 4 D 3 MOFI
B,4,2,D,3,bn,MOFI,4,0.04,B 4 D 3 MOFI
B,4,2,D,3,bn,MOFI,5,0.04,B 4 D 3 MOFI
B,4,2,D,3,bn,MOFI,6,0.05,B 4 D 3 MOFI
C,1,2,D,3,bn,Solidago,1,0.06,C 1 D 3 Solidago
C,1,2,D,3,bn,Solidago,2,0.05,C 1 D 3 Solidago
C,1,2,D,3,bn,Solidago,3,0.05,C 1 D 3 Solidago
C,1,2,D,3,bn,Solidago,4,0.04,C 1 D 3 Solidago
C,1,2,D,3,bn,Solidago,5,0.06,C 1 D 3 Solidago
B,4,2,D,4,biomass,HEMAX,1,0.07,B 4 D 4 HEMAX
B,4,2,D,4,biomass,HEMAX,2,0.06,B 4 D 4 HEMAX
B,4,2,D,4,biomass,HEMAX,3,0.07,B 4 D 4 HEMAX
B,4,2,D,4,biomass,HEMAX,4,0.06,B 4 D 4 HEMAX
B,4,2,D,4,biomass,HEMAX,5,0.08,B 4 D 4 HEMAX
B,4,2,D,4,biomass,SOCA,1,0.02,B 4 D 4 SOCA
B,4,2,D,4,biomass,SOCA,2,0.03,B 4 D 4 SOCA
B,4,2,D,4,biomass,SOCA,3,0.02,B 4 D 4 SOCA
B,4,2,D,4,biomass,SOCA,4,0.02,B 4 D 4 SOCA
B,4,2,D,4,biomass,SOCA,5,0.03,B 4 D 4 SOCA
B,4,2,D,4,biomass,MOFI,1,0.04,B 4 D 4 MOFI
B,4,2,D,4,biomass,MOFI,2,0.04,B 4 D 4 MOFI
B,4,2,D,4,biomass,MOFI,3,0.04,B 4 D 4 MOFI
B,4,2,D,4,biomass,MOFI,4,0.04,B 4 D 4 MOFI
B,4,2,D,4,biomass,MOFI,5,0.04,B 4 D 4 MOFI
C,1,1,D,1,biomass,Solidago,1,0.1,C 1 D 1 Solidago
C,1,1,D,1,biomass,Solidago,2,0.05,C 1 D 1 Solidago
C,1,1,D,1,biomass,Solidago,3,0.03,C 1 D 1 Solidago
C,1,1,D,1,biomass,Solidago,4,0.03,C 1 D 1 Solidago
C,1,1,D,1,biomass,Solidago,5,0.04,C 1 D 1 Solidago
C,1,1,D,1,biomass,Solidago,6,0.02,C 1 D 1 Solidago
C,1,1,D,3,bn,ANGE,1,0.2,C 1 D 3 ANGE
C,1,1,D,3,bn,ANGE,2,0.2,C 1 D 3 ANGE
C,1,1,D,3,bn,ANGE,3,0.14,C 1 D 3 ANGE
C,1,1,D,3,bn,ANGE,4,0.08,C 1 D 3 ANGE
C,1,1,D,3,bn,ANGE,5,0.23,C 1 D 3 ANGE
B,4,2,D,3,bn,SONU,1,0.27,B 4 D 3 SONU
B,4,2,D,3,bn,SONU,2,0.38,B 4 D 3 SONU
B,4,2,D,3,bn,SONU,3,0.28,B 4 D 3 SONU
B,4,2,D,3,bn,SONU,4,0.32,B 4 D 3 SONU
B,4,2,D,3,bn,SONU,5,0.26,B 4 D 3 SONU
C,1,1,D,1,biomass,ANGE,1,0.13,C 1 D 1 ANGE
C,1,1,D,1,biomass,ANGE,2,0.17,C 1 D 1 ANGE
C,1,1,D,1,biomass,ANGE,3,0.11,C 1 D 1 ANGE
C,1,1,D,1,biomass,ANGE,4,0.07,C 1 D 1 ANGE
C,1,1,D,1,biomass,ANGE,5,0.17,C 1 D 1 ANGE
C,4,1,D,4,bn,ANGE,1,0.11,C 4 D 4 ANGE
C,4,1,D,4,bn,ANGE,2,0.13,C 4 D 4 ANGE
C,4,1,D,4,bn,ANGE,3,0.14,C 4 D 4 ANGE
C,4,1,D,4,bn,ANGE,4,0.11,C 4 D 4 ANGE
C,4,1,D,4,bn,ANGE,5,0.1,C 4 D 4 ANGE
A,3,2,D,2,bn,ANGE,1,0.12,A 3 D 2 ANGE
A,3,2,D,2,bn,ANGE,2,0.06,A 3 D 2 ANGE
A,3,2,D,2,bn,ANGE,3,0.07,A 3 D 2 ANGE
A,3,2,D,2,bn,ANGE,4,0.1,A 3 D 2 ANGE
A,3,2,D,2,bn,ANGE,5,0.07,A 3 D 2 ANGE
A,4,1,C,1,control,Solidago,1,0.05,A 4 C 1 Solidago
A,4,1,C,1,control,Solidago,2,0.09,A 4 C 1 Solidago
A,4,1,C,1,control,Solidago,3,0.06,A 4 C 1 Solidago
A,4,1,C,1,control,Solidago,4,0.07,A 4 C 1 Solidago
A,4,1,C,1,control,Solidago,5,0.03,A 4 C 1 Solidago
A,1,2,D,2,rainout,SOCA,1,0.04,A 1 D 2 SOCA
A,1,2,D,2,rainout,SOCA,2,0.05,A 1 D 2 SOCA
A,1,2,D,2,rainout,SOCA,3,NODATA,A 1 D 2 SOCA
A,1,2,D,2,rainout,SOCA,4,0.03,A 1 D 2 SOCA
A,1,2,D,2,rainout,SOCA,5,NODATA,A 1 D 2 SOCA
C,2,2,D,3,nitrogen,MOFI,1,0.08,C 2 D 3 MOFI
C,2,2,D,3,nitrogen,MOFI,2,0.04,C 2 D 3 MOFI
C,2,2,D,3,nitrogen,MOFI,3,0.03,C 2 D 3 MOFI
C,2,2,D,3,nitrogen,MOFI,4,0.07,C 2 D 3 MOFI
C,2,2,D,3,nitrogen,MOFI,5,0.04,C 2 D 3 MOFI
C,2,2,D,3,nitrogen,SOCA,1,0.01,C 2 D 3 SOCA
C,2,2,D,3,nitrogen,SOCA,2,0.04,C 2 D 3 SOCA
C,2,2,D,3,nitrogen,SOCA,3,0.06,C 2 D 3 SOCA
C,2,2,D,3,nitrogen,SOCA,4,0.03,C 2 D 3 SOCA
C,2,2,D,3,nitrogen,SOCA,5,0.01,C 2 D 3 SOCA
C,2,2,C,1,control,MOFI,1,0.04,C 2 C 1 MOFI
C,2,2,C,1,control,MOFI,2,0.06/0.07,C 2 C 1 MOFI
C,2,2,C,1,control,MOFI,3,0.06,C 2 C 1 MOFI
C,2,2,C,1,control,MOFI,4,0.05,C 2 C 1 MOFI
C,2,2,C,1,control,MOFI,5,0.02,C 2 C 1 MOFI
C,2,2,C,1,control,SOGI,1,0.08,C 2 C 1 SOGI
C,2,2,C,1,control,SOGI,2,0.13,C 2 C 1 SOGI
C,2,2,C,1,control,SOGI,3,0.09,C 2 C 1 SOGI
C,2,2,C,1,control,SOGI,4,0.13,C 2 C 1 SOGI
C,2,2,C,1,control,SOGI,5,0.11,C 2 C 1 SOGI
A,1,2,D,2,rainout,HEMAX,1,0.19,A 1 D 2 HEMAX
A,1,2,D,2,rainout,HEMAX,2,0.04,A 1 D 2 HEMAX
A,1,2,D,2,rainout,HEMAX,3,0.07,A 1 D 2 HEMAX
A,1,2,D,2,rainout,HEMAX,4,0.11,A 1 D 2 HEMAX
A,1,2,D,2,rainout,HEMAX,5,0.09,A 1 D 2 HEMAX
A,1,2,D,2,rainout,MOFI,1,0.06,A 1 D 2 MOFI
A,1,2,D,2,rainout,MOFI,2,0.03,A 1 D 2 MOFI
A,1,2,D,2,rainout,MOFI,3,0.07,A 1 D 2 MOFI
A,1,2,D,2,rainout,MOFI,4,0.09,A 1 D 2 MOFI
A,1,2,D,2,rainout,MOFI,5,0.06,A 1 D 2 MOFI
C,2,2,C,2,rainout,MOFI,1,0.03,C 2 C 2 MOFI
C,2,2,C,2,rainout,MOFI,2,0.09,C 2 C 2 MOFI
C,2,2,C,2,rainout,MOFI,3,0.05,C 2 C 2 MOFI
C,2,2,C,2,rainout,MOFI,4,0.06,C 2 C 2 MOFI
C,2,2,C,2,rainout,MOFI,5,0.04,C 2 C 2 MOFI
C,2,2,D,4,rainout,MOFI,1,0.05,C 2 D 4 MOFI
C,2,2,D,4,rainout,MOFI,2,0.04,C 2 D 4 MOFI
C,2,2,D,4,rainout,MOFI,3,0.06,C 2 D 4 MOFI
C,2,2,D,4,rainout,MOFI,4,0.04,C 2 D 4 MOFI
C,2,2,D,3,nitrogen,HEMAX,1,0.05,C 2 D 3 HEMAX
C,2,2,D,3,nitrogen,HEMAX,2,0.18,C 2 D 3 HEMAX
C,2,2,D,3,nitrogen,HEMAX,3,0.16,C 2 D 3 HEMAX
C,2,2,D,3,nitrogen,HEMAX,4,0.08,C 2 D 3 HEMAX
A,4,1,D,1,nitrogen,Solidago,1,0.06,A 4 D 1 Solidago
A,4,1,D,1,nitrogen,Solidago,2,0.08,A 4 D 1 Solidago
A,4,1,D,1,nitrogen,Solidago,3,0.04,A 4 D 1 Solidago
A,4,1,D,1,nitrogen,Solidago,4,0.07,A 4 D 1 Solidago
C,1,1,D,2,nitrogen,Solidago,1,0.06,C 1 D 2 Solidago
C,1,1,D,2,nitrogen,Solidago,2,0.06,C 1 D 2 Solidago
C,1,1,D,2,nitrogen,Solidago,3,0.03,C 1 D 2 Solidago
C,1,1,D,2,nitrogen,Solidago,4,0.03,C 1 D 2 Solidago
C,1,1,D,2,nitrogen,Solidago,5,0.07,C 1 D 2 Solidago
C,1,1,D,4,rainout,Solidago,1,0.04,C 1 D 4 Solidago
C,1,1,D,4,rainout,Solidago,2,0.04,C 1 D 4 Solidago
C,1,1,D,4,rainout,Solidago,3,0.05,C 1 D 4 Solidago
C,1,1,D,4,rainout,Solidago,4,0.06,C 1 D 4 Solidago
C,1,1,D,4,rainout,Solidago,5,0.08,C 1 D 4 Solidago
C,2,2,C,1,control,HEPA,1,0.14,C 2 C 1 HEPA
C,2,2,C,1,control,HEPA,2,0.08,C 2 C 1 HEPA
C,2,2,C,1,control,HEPA,3,0.16,C 2 C 1 HEPA
C,2,2,C,1,control,HEPA,4,0.2,C 2 C 1 HEPA
C,2,2,C,1,control,HEPA,5,0.09,C 2 C 1 HEPA
C,1,1,C,1,control,Solidago,1,0.08,C 1 C 1 Solidago
C,1,1,C,1,control,Solidago,2,0.07,C 1 C 1 Solidago
C,1,1,C,1,control,Solidago,3,0.06,C 1 C 1 Solidago
C,1,1,C,1,control,Solidago,4,0.09,C 1 C 1 Solidago
C,1,1,C,1,control,Solidago,5,0.06,C 1 C 1 Solidago
A,4,1,D,2,rainout,Solidago,1,0.05,A 4 D 2 Solidago
A,4,1,D,2,rainout,Solidago,2,0.04,A 4 D 2 Solidago
A,4,1,D,2,rainout,Solidago,3,0.04,A 4 D 2 Solidago
A,4,1,D,2,rainout,Solidago,4,0.04,A 4 D 2 Solidago
A,4,1,D,2,rainout,Solidago,5,0.05,A 4 D 2 Solidago
A,4,1,C,2,control,Solidago,1,0.09,A 4 C 2 Solidago
A,4,1,C,2,control,Solidago,2,0.05,A 4 C 2 Solidago
A,4,1,C,2,control,Solidago,3,0.05,A 4 C 2 Solidago
A,4,1,C,2,control,Solidago,4,0.07,A 4 C 2 Solidago
A,4,1,C,2,control,Solidago,5,0.04,A 4 C 2 Solidago
C,1,1,C,2,control,Solidago,1,0.1,C 1 C 2 Solidago
C,1,1,C,2,control,Solidago,2,0.06,C 1 C 2 Solidago
C,1,1,C,2,control,Solidago,3,0.06,C 1 C 2 Solidago
C,1,1,C,2,control,Solidago,4,0.06,C 1 C 2 Solidago
C,1,1,C,2,control,Solidago,5,0.08,C 1 C 2 Solidago
C,4,1,D,1,rainout,ANGE,1,0.11,C 4 D 1 ANGE
C,4,1,D,1,rainout,ANGE,2,0.15,C 4 D 1 ANGE
C,4,1,D,1,rainout,ANGE,3,0.14,C 4 D 1 ANGE
C,4,1,D,1,rainout,ANGE,4,0.09,C 4 D 1 ANGE
C,4,1,D,1,rainout,ANGE,5,0.12,C 4 D 1 ANGE
A,4,1,D,3,bn,ANGE,1,0.24,A 4 D 3 ANGE
A,4,1,D,3,bn,ANGE,2,0.17,A 4 D 3 ANGE
A,4,1,D,3,bn,ANGE,3,0.14,A 4 D 3 ANGE
A,4,1,D,3,bn,ANGE,4,0.19,A 4 D 3 ANGE
A,4,1,D,3,bn,ANGE,5,0.19,A 4 D 3 ANGE
B,4,1,D,4,biomass,ANGE,1,0.11,B 4 D 4 ANGE
B,4,1,D,4,biomass,ANGE,2,0.15,B 4 D 4 ANGE
B,4,1,D,4,biomass,ANGE,3,0.15,B 4 D 4 ANGE
B,4,1,D,4,biomass,ANGE,4,0.11,B 4 D 4 ANGE
B,4,1,D,4,biomass,ANGE,5,0.07,B 4 D 4 ANGE
A,1,2,D,4,biomass,ANGE,1,0.08,A 1 D 4 ANGE
A,1,2,D,4,biomass,ANGE,2,0.1,A 1 D 4 ANGE
A,1,2,D,4,biomass,ANGE,3,0.09,A 1 D 4 ANGE
A,1,2,D,4,biomass,ANGE,4,0.2,A 1 D 4 ANGE
A,1,2,D,4,biomass,ANGE,5,0.23,A 1 D 4 ANGE
A,3,2,D,2,bn,SONU,1,0.29,A 3 D 2 SONU
A,3,2,D,2,bn,SONU,2,0.42,A 3 D 2 SONU
A,3,2,D,2,bn,SONU,3,0.19,A 3 D 2 SONU
A,3,2,D,2,bn,SONU,4,0.27,A 3 D 2 SONU
A,3,2,D,2,bn,SONU,5,0.19,A 3 D 2 SONU
C,2,2,D,1,bn,ANGE,1,0.07,C 2 D 1 ANGE
C,2,2,D,1,bn,ANGE,2,0.12,C 2 D 1 ANGE
C,2,2,D,1,bn,ANGE,3,0.1,C 2 D 1 ANGE
C,2,2,D,1,bn,ANGE,4,0.06,C 2 D 1 ANGE
C,2,2,D,1,bn,ANGE,5,0.06,C 2 D 1 ANGE
C,2,2,D,1,bn,ANGE,6,0.09,C 2 D 1 ANGE
B,4,2,D,3,bn,ANGE,1,0.1,B 4 D 3 ANGE
B,4,2,D,3,bn,ANGE,2,0.15,B 4 D 3 ANGE
B,4,2,D,3,bn,ANGE,3,0.12,B 4 D 3 ANGE
B,4,2,D,3,bn,ANGE,4,0.08,B 4 D 3 ANGE
B,4,2,D,3,bn,ANGE,5,0.04,B 4 D 3 ANGE
A,1,2,D,3,biomass,SONU,1,0.16,A 1 D 3 SONU
A,1,2,D,3,biomass,SONU,2,0.21,A 1 D 3 SONU
A,1,2,D,3,biomass,SONU,3,0.14,A 1 D 3 SONU
A,1,2,D,3,biomass,SONU,4,0.14,A 1 D 3 SONU
A,1,2,D,3,biomass,SONU,5,0.21,A 1 D 3 SONU
B,4,2,D,4,biomass,SONU,1,0.21,B 4 D 4 SONU
B,4,2,D,4,biomass,SONU,2,0.18,B 4 D 4 SONU
B,4,2,D,4,biomass,SONU,3,0.08,B 4 D 4 SONU
B,4,2,D,4,biomass,SONU,4,0.14,B 4 D 4 SONU
B,4,2,D,4,biomass,SONU,5,0.11,B 4 D 4 SONU
B,2,1,D,1,biomass,ANGE,1,0.21,B 2 D 1 ANGE
B,2,1,D,1,biomass,ANGE,2,0.11,B 2 D 1 ANGE
B,2,1,D,1,biomass,ANGE,3,0.08,B 2 D 1 ANGE
B,2,1,D,1,biomass,ANGE,4,0.12,B 2 D 1 ANGE
B,2,1,D,1,biomass,ANGE,5,0.13,B 2 D 1 ANGE
C,2,2,D,2,biomass,SONU,1,0.16,C 2 D 2 SONU
C,2,2,D,2,biomass,SONU,2,0.12,C 2 D 2 SONU
C,2,2,D,2,biomass,SONU,3,0.19,C 2 D 2 SONU
C,2,2,D,2,biomass,SONU,4,0.14,C 2 D 2 SONU
C,2,2,D,2,biomass,SONU,5,0.1,C 2 D 2 SONU
C,2,2,D,1,bn,SONU,1,0.25,C 2 D 1 SONU
C,2,2,D,1,bn,SONU,2,0.11,C 2 D 1 SONU
C,2,2,D,1,bn,SONU,3,0.2,C 2 D 1 SONU
C,2,2,D,1,bn,SONU,4,0.28,C 2 D 1 SONU
C,2,2,D,1,bn,SONU,5,0.37,C 2 D 1 SONU
A,4,1,D,4,biomass,ANGE,1,0.15,A 4 D 4 ANGE
A,4,1,D,4,biomass,ANGE,2,0.11,A 4 D 4 ANGE
A,4,1,D,4,biomass,ANGE,3,0.07,A 4 D 4 ANGE
A,4,1,D,4,biomass,ANGE,4,0.09,A 4 D 4 ANGE
A,4,1,D,4,biomass,ANGE,5,0.08,A 4 D 4 ANGE
B,2,1,D,2,bn,ANGE,1,0.26,B 2 D 2 ANGE
B,2,1,D,2,bn,ANGE,2,0.18,B 2 D 2 ANGE
B,2,1,D,2,bn,ANGE,3,0.18,B 2 D 2 ANGE
B,2,1,D,2,bn,ANGE,4,0.2,B 2 D 2 ANGE
B,2,1,D,2,bn,ANGE,5,0.06,B 2 D 2 ANGE
A,3,2,D,1,biomass,SONU,1,0.28,A 3 D 1 SONU
A,3,2,D,1,biomass,SONU,2,0.2,A 3 D 1 SONU
A,3,2,D,1,biomass,SONU,3,0.08,A 3 D 1 SONU
A,3,2,D,1,biomass,SONU,4,0.15,A 3 D 1 SONU
A,3,2,D,1,biomass,SONU,5,0.21,A 3 D 1 SONU
A,3,2,D,1,biomass,ANGE,1,0.11,A 3 D 1 ANGE
A,3,2,D,1,biomass,ANGE,2,0.12,A 3 D 1 ANGE
A,3,2,D,1,biomass,ANGE,3,0.16,A 3 D 1 ANGE
A,3,2,D,1,biomass,ANGE,4,0.17,A 3 D 1 ANGE
A,3,2,D,1,biomass,ANGE,5,0.1,A 3 D 1 ANGE
A,3,2,D,1,biomass,ANGE,6,0.1,A 3 D 1 ANGE
A,1,2,D,4,bn,SONU,1,0.23,A 1 D 4 SONU
A,1,2,D,4,bn,SONU,2,0.26,A 1 D 4 SONU
A,1,2,D,4,bn,SONU,3,0.35,A 1 D 4 SONU
A,1,2,D,4,bn,SONU,4,0.31,A 1 D 4 SONU
A,1,2,D,4,bn,SONU,5,0.27,A 1 D 4 SONU
C,2,NA,D,2,biomass,ANGE,1,0.08,C 2 D 2 ANGE
C,2,NA,D,2,biomass,ANGE,2,0.22,C 2 D 2 ANGE
C,2,NA,D,2,biomass,ANGE,3,0.06,C 2 D 2 ANGE
C,2,NA,D,2,biomass,ANGE,4,0.06,C 2 D 2 ANGE
C,2,NA,D,2,biomass,ANGE,5,0.05,C 2 D 2 ANGE
C,1,NA,C,1,control,ANGE,1,0.15,C 1 C 1 ANGE
C,1,NA,C,1,control,ANGE,2,0.15,C 1 C 1 ANGE
C,1,NA,C,1,control,ANGE,3,0.1,C 1 C 1 ANGE
C,1,NA,C,1,control,ANGE,4,0.09,C 1 C 1 ANGE
C,1,NA,C,1,control,ANGE,5,0.06,C 1 C 1 ANGE
C,2,NA,C,1,control,SONU,1,0.08,C 2 C 1 SONU
C,2,NA,C,1,control,SONU,2,0.15,C 2 C 1 SONU
C,2,NA,C,1,control,SONU,3,0.13,C 2 C 1 SONU
C,2,NA,C,1,control,SONU,4,0.2,C 2 C 1 SONU
C,2,NA,C,1,control,SONU,5,0.19,C 2 C 1 SONU
A,4,NA,C,1,control,ANGE,1,0.16,A 4 C 1 ANGE
A,4,NA,C,1,control,ANGE,2,0.11,A 4 C 1 ANGE
A,4,NA,C,1,control,ANGE,3,0.13,A 4 C 1 ANGE
A,4,NA,C,1,control,ANGE,4,0.06,A 4 C 1 ANGE
A,4,NA,C,1,control,ANGE,5,0.1,A 4 C 1 ANGE
C,2,NA,C,2,control,SONU,1,0.06,C 2 C 2 SONU
C,2,NA,C,2,control,SONU,2,0.06,C 2 C 2 SONU
C,2,NA,C,2,control,SONU,3,0.07,C 2 C 2 SONU
C,2,NA,C,2,control,SONU,4,0.09,C 2 C 2 SONU
C,2,NA,C,2,control,SONU,5,0.11,C 2 C 2 SONU
A,4,NA,D,2,rainout,ANGE,1,0.22,A 4 D 2 ANGE
A,4,NA,D,2,rainout,ANGE,2,0.13,A 4 D 2 ANGE
A,4,NA,D,2,rainout,ANGE,3,0.18,A 4 D 2 ANGE
A,4,NA,D,2,rainout,ANGE,4,0.17,A 4 D 2 ANGE
A,4,NA,D,2,rainout,ANGE,5,0.11,A 4 D 2 ANGE
C,1,NA,C,1,control,ANGE,1,0.19,C 1 C 1 ANGE
C,1,NA,C,1,control,ANGE,2,0.15,C 1 C 1 ANGE
C,1,NA,C,1,control,ANGE,3,0.18,C 1 C 1 ANGE
C,1,NA,C,1,control,ANGE,4,0.24,C 1 C 1 ANGE
C,1,NA,C,1,control,ANGE,5,0.19,C 1 C 1 ANGE
C,2,NA,C,2,control,ANGE,1,0.19,C 2 C 2 ANGE
C,2,NA,C,2,control,ANGE,2,0.12,C 2 C 2 ANGE
C,2,NA,C,2,control,ANGE,3,0.26,C 2 C 2 ANGE
C,2,NA,C,2,control,ANGE,4,0.18,C 2 C 2 ANGE
C,2,NA,C,2,control,ANGE,5,0.07,C 2 C 2 ANGE
A,4,NA,C,2,control,ANGE,1,0.13,A 4 C 2 ANGE
A,4,NA,C,2,control,ANGE,2,0.13,A 4 C 2 ANGE
A,4,NA,C,2,control,ANGE,3,0.15,A 4 C 2 ANGE
A,4,NA,C,2,control,ANGE,4,0.11,A 4 C 2 ANGE
A,4,NA,C,2,control,ANGE,5,0.17,A 4 C 2 ANGE
C,1,NA,D,4,rainout,ANGE,1,0.8,C 1 D 4 ANGE
C,1,NA,D,4,rainout,ANGE,2,0.19,C 1 D 4 ANGE
C,1,NA,D,4,rainout,ANGE,3,0.17,C 1 D 4 ANGE
C,1,NA,D,4,rainout,ANGE,4,0.2,C 1 D 4 ANGE
