"","year","block","level","diversity","transect","treat","UTM_east","UTM_north","sample","pH","solvita.ppmC.","emn","biomass_C","Omloi","kclN","WEONppm_15","WEOCppm_15","OC_ON","X","site"
"42",2016,"C",1,"low","C2","control_2",534642.3,4510510,1,NA,43.5,21.8,870,21,4.7,NA,NA,NA,NA,"2016 C 1 low C2"
"43",2016,"C",2,"high","D1","biomass_nitrogen",534650.7,4510448,1,NA,29,14.5,580,21,7.43,NA,NA,NA,NA,"2016 C 2 high D1"
"44",2016,"C",2,"high","D2","biomass",534652.6,4510448,1,NA,31.6,15.8,632,21,7.62,NA,NA,NA,NA,"2016 C 2 high D2"
"45",2016,"C",2,"high","D3","nitrogen",534653.1,4510446,1,NA,23,11.5,460,21,7.47,NA,NA,NA,NA,"2016 C 2 high D3"
"46",2016,"C",2,"high","D4","rainout",534651.7,4510445,1,NA,24.2,12.1,484,21,7.98,NA,NA,NA,NA,"2016 C 2 high D4"
"47",2016,"C",2,"high","C1","control_1",534655.4,4510447,1,NA,20.2,10.1,404,21,8.82,NA,NA,NA,NA,"2016 C 2 high C1"
"48",2016,"C",2,"high","C2","control_2",534657.1,4510447,1,NA,34.7,17.4,694,21,8.1,NA,NA,NA,NA,"2016 C 2 high C2"
"49",2016,"C",4,"high","D1","rainout",534684,4510315,1,NA,19.2,9.6,384,21,10.37,NA,NA,NA,NA,"2016 C 4 high D1"
"50",2016,"C",4,"high","D2","nitrogen ",534684.9,4510315,1,NA,18.4,9.2,368,21,8.97,NA,NA,NA,NA,"2016 C 4 high D2"
"51",2016,"C",4,"high","D3","biomass",534685.8,4510313,1,NA,29,14.5,580,21,17.37,NA,NA,NA,NA,"2016 C 4 high D3"
"52",2016,"C",4,"high","D4","biomass_nitrogen",534684.2,4510313,1,NA,16.1,8.1,322,21,10.97,NA,NA,NA,NA,"2016 C 4 high D4"
"53",2016,"C",4,"high","C1","control_1",534687.3,4510314,1,NA,23,11.5,460,21,15.77,NA,NA,NA,NA,"2016 C 4 high C1"
"54",2016,"C",4,"high","C2","control_2",534689.1,4510315,1,NA,20.2,10.1,404,21,9.57,NA,NA,NA,NA,"2016 C 4 high C2"
"55",2016,"B",2,"low","D1","biomass",534570,4510405,1,NA,45.5,22.8,910,21,10.87,NA,NA,NA,NA,"2016 B 2 low D1"
"56",2016,"B",2,"low","D2","biomass_nitrogen",534571.7,4510405,1,NA,29,14.5,580,21,10.97,NA,NA,NA,NA,"2016 B 2 low D2"
"57",2016,"B",2,"low","D3","nitrogen",534571.4,4510403,1,NA,33.1,16.5,662,21,12.27,NA,NA,NA,NA,"2016 B 2 low D3"
"58",2016,"B",2,"low","D4","rainout",534569.8,4510403,1,NA,34.7,17.4,694,21,12.97,NA,NA,NA,NA,"2016 B 2 low D4"
"59",2016,"B",2,"low","C1","control_1",534573.5,4510404,1,NA,31.6,15.8,632,21,12.27,NA,NA,NA,NA,"2016 B 2 low C1"
"60",2016,"B",2,"low","C2","control_2",534351,4510403,1,NA,33.1,16.5,662,21,13.77,NA,NA,NA,NA,"2016 B 2 low C2"
"61",2016,"B",4,"high","D1","rainout",534599.2,4510279,1,NA,29,14.5,580,21,12.37,NA,NA,NA,NA,"2016 B 4 high D1"
"62",2016,"B",4,"high","D2","nitrogen",534600.6,4510279,1,NA,38.1,19,762,21,15.47,NA,NA,NA,NA,"2016 B 4 high D2"
"63",2016,"B",4,"high","D3","biomass_nitrogen",534601.1,4510276,1,NA,23,11.5,460,21,10.57,NA,NA,NA,NA,"2016 B 4 high D3"
"64",2016,"B",4,"high","D4","biomass",534599.2,4510276,1,NA,27.7,13.9,554,21,12.57,NA,NA,NA,NA,"2016 B 4 high D4"
"65",2016,"B",4,"high","C1","control_1",534603,4510278,1,NA,33.1,16.5,662,21,12.67,NA,NA,NA,NA,"2016 B 4 high C1"
"66",2016,"B",4,"high","C2","control_2",534604.8,4510279,1,NA,25.2,12.6,504,21,12.47,NA,NA,NA,NA,"2016 B 4 high C2"
"67",2016,"A",1,"high","D1","nitrogen",534474.9,4510421,1,NA,33.1,1.65,662,21,15.87,NA,NA,NA,NA,"2016 A 1 high D1"
"68",2016,"A",1,"high","D2","rainout",534476.4,4510422,1,NA,36.4,18.2,728,21,5.17,NA,NA,NA,NA,"2016 A 1 high D2"
"69",2016,"A",1,"high","D3","biomass",534476.6,4510419,1,NA,39.8,19.9,796,21,10.47,NA,NA,NA,NA,"2016 A 1 high D3"
"70",2016,"A",1,"high","D4","biomass_nitrogen",534475.4,4510419,1,NA,38.1,19,762,21,11.27,NA,NA,NA,NA,"2016 A 1 high D4"
"71",2016,"A",1,"high","C1","control_1",534479,4510421,1,NA,29,14.5,580,21,8.91,NA,NA,NA,NA,"2016 A 1 high C1"
"72",2016,"A",1,"high","C2","control_2",534494.2,4510359,1,NA,30.3,15.1,606,21,12.67,NA,NA,NA,NA,"2016 A 1 high C2"
"73",2016,"A",3,"high","D1","biomass ",534506.3,4510141,1,NA,36.4,18.2,728,21,11.47,NA,NA,NA,NA,"2016 A 3 high D1"
"74",2016,"A",3,"high","D2","biomass_nitrogen",534507.1,4510284,1,NA,47.8,23.9,956,21,13.37,NA,NA,NA,NA,"2016 A 3 high D2"
"75",2016,"A",3,"high","D3","nitrogen",534507.2,4510281,1,NA,47.8,23.9,956,21,10.07,NA,NA,NA,NA,"2016 A 3 high D3"
"76",2016,"A",3,"high","D4","rainout",534506.1,4510281,1,NA,52.3,26.1,1046,21,10.47,NA,NA,NA,NA,"2016 A 3 high D4"
"77",2016,"A",3,"high","C1","control_1",534509.6,4510282,1,NA,50,25,1000,21,10.47,NA,NA,NA,NA,"2016 A 3 high C1"
"78",2016,"A",3,"high","C2","control_2",534510.8,4510283,1,NA,39.8,19.9,796,21,11.87,NA,NA,NA,NA,"2016 A 3 high C2"
"79",2016,"A",4,"low","D1","nitrogen",534520.2,4510216,1,NA,19.2,9.6,384,21,9.27,NA,NA,NA,NA,"2016 A 4 low D1"
"80",2016,"A",4,"low","D2","rainout",534521.6,4510216,1,NA,26.4,13.2,528,21,7.56,NA,NA,NA,NA,"2016 A 4 low D2"
"81",2016,"A",4,"low","D3","biomass_nitrogen",534521.6,4510214,1,NA,12.2,6.1,244,21,9.13,NA,NA,NA,NA,"2016 A 4 low D3"
"82",2016,"A",4,"low","D4","biomass",534520.2,4510213,1,NA,22.1,11.1,442,21,11.57,NA,NA,NA,NA,"2016 A 4 low D4"
"83",2016,"A",4,"low","C1","control_1",534524.3,4510215,1,NA,19.2,9.6,384,21,12.87,NA,NA,NA,NA,"2016 A 4 low C1"
"84",2016,"A",4,"low","C2","control_2",534526.5,4510215,1,NA,19.2,9.6,384,21,8.06,NA,NA,NA,NA,"2016 A 4 low C2"
"85",2015,"C",1,"low","D1","biomass",534636.6,4510510,1,6.8,52.3,NA,NA,2,NA,12.4,138,11.1,NA,"2015 C 1 low D1"
"86",2015,"C",1,"low","D2","nitrogen",534637.8,4510510,1,6.9,52.3,NA,NA,1,NA,12.2,150,12.3,NA,"2015 C 1 low D2"
"87",2015,"C",1,"low","D3","biomass_nitrogen",534638.1,4510508,1,7.1,50,NA,NA,3,NA,12.1,139,11.5,NA,"2015 C 1 low D3"
"88",2015,"C",1,"low","D4","rainout",534636.9,4510507,1,7.1,57.2,NA,NA,1,NA,10.4,122,11.8,NA,"2015 C 1 low D4"
"89",2015,"C",1,"low","C1","control_1",534640.3,4510509,1,6.6,57.2,NA,NA,3,NA,12,119,9.9,NA,"2015 C 1 low C1"
"90",2015,"C",1,"low","C2","control_2",534642.3,4510510,1,6.6,34.7,NA,NA,2,NA,11,118,10.7,NA,"2015 C 1 low C2"
"91",2015,"C",2,"high","D1","biomass_nitrogen",534650.7,4510448,1,6.6,54.5,NA,NA,5,NA,12.1,167,13.8,NA,"2015 C 2 high D1"
"92",2015,"C",2,"high","D2","biomass",534652.6,4510448,1,6.7,47.8,NA,NA,9,NA,14.1,169,11.9,NA,"2015 C 2 high D2"
"93",2015,"C",2,"high","D3","nitrogen",534653.1,4510446,1,6.9,65.7,NA,NA,7,NA,14,159,11.4,NA,"2015 C 2 high D3"
"94",2015,"C",2,"high","D4","rainout",534651.7,4510445,1,6.6,59.7,NA,NA,8,NA,14,167,11.9,NA,"2015 C 2 high D4"
"95",2015,"C",2,"high","C1","control_1",534655.4,4510447,1,6.4,86.3,NA,NA,10,NA,15.8,180,11.4,NA,"2015 C 2 high C1"
"96",2015,"C",2,"high","C2","control_2",534657.1,4510447,1,6.4,74.6,NA,NA,9,NA,14.1,179,12.8,NA,"2015 C 2 high C2"
"97",2015,"C",4,"high","D1","rainout",534684,4510315,1,8,41.5,NA,NA,15,NA,14.4,163,11.4,NA,"2015 C 4 high D1"
"98",2015,"C",4,"high","D2","nitrogen ",534684.9,4510315,1,8.1,38.1,NA,NA,15,NA,13.1,165,12.6,NA,"2015 C 4 high D2"
"99",2015,"C",4,"high","D3","biomass",534685.8,4510313,1,8,62.7,NA,NA,19,NA,14.2,177,12.4,NA,"2015 C 4 high D3"
"100",2015,"C",4,"high","D4","biomass_nitrogen",534684.2,4510313,1,8.2,57.2,NA,NA,14,NA,13.2,164,12.4,NA,"2015 C 4 high D4"
"101",2015,"C",4,"high","C1","control_1",534687.3,4510314,1,8.1,36.4,NA,NA,14,NA,13.8,158,11.5,NA,"2015 C 4 high C1"
"102",2015,"C",4,"high","C2","control_2",534689.1,4510315,1,7.8,36.4,NA,NA,12,NA,13.7,160,11.7,NA,"2015 C 4 high C2"
"103",2015,"B",2,"low","D1","biomass",534570,4510405,1,6.6,68.7,NA,NA,8,NA,13.8,148,10.7,NA,"2015 B 2 low D1"
"104",2015,"B",2,"low","D2","biomass_nitrogen",534571.7,4510405,1,6.8,65.7,NA,NA,8,NA,13,144,11.1,NA,"2015 B 2 low D2"
"105",2015,"B",2,"low","D3","nitrogen",534571.4,4510403,1,6.5,59.7,NA,NA,8,NA,13.3,141,10.7,NA,"2015 B 2 low D3"
"106",2015,"B",2,"low","D4","rainout",534569.8,4510403,1,6.6,57.2,NA,NA,14,NA,15.6,165,10.6,NA,"2015 B 2 low D4"
"107",2015,"B",2,"low","C1","control_1",534573.5,4510404,1,6.7,62.7,NA,NA,10,NA,13.3,154,11.6,NA,"2015 B 2 low C1"
"108",2015,"B",2,"low","C2","control_2",534351,4510403,1,6.7,74.6,NA,NA,8,NA,13.7,154,11.3,NA,"2015 B 2 low C2"
"109",2015,"B",4,"high","D1","rainout",534599.2,4510279,1,7.6,71.6,NA,NA,16,NA,15.2,173,11.4,NA,"2015 B 4 high D1"
"110",2015,"B",4,"high","D2","nitrogen",534600.6,4510279,1,7.7,78.4,NA,NA,18,NA,15.3,167,10.9,NA,"2015 B 4 high D2"
"111",2015,"B",4,"high","D3","biomass_nitrogen",534601.1,4510276,1,7.8,65.7,NA,NA,15,NA,13.5,166,12.3,NA,"2015 B 4 high D3"
"112",2015,"B",4,"high","D4","biomass",534599.2,4510276,1,7.8,78.4,NA,NA,14,NA,15.4,187,12.2,NA,"2015 B 4 high D4"
"113",2015,"B",4,"high","C1","control_1",534603,4510278,1,7.6,52.3,NA,NA,15,NA,15.7,175,11.1,NA,"2015 B 4 high C1"
"114",2015,"B",4,"high","C2","control_2",534604.8,4510279,1,7.5,57.2,NA,NA,10,NA,17,172,10.1,NA,"2015 B 4 high C2"
"115",2015,"A",1,"high","D1","nitrogen",534474.9,4510421,1,7.6,71.6,NA,NA,16,NA,15.2,173,11.4,NA,"2015 A 1 high D1"
"116",2015,"A",1,"high","D2","rainout",534476.4,4510422,1,6.9,30.3,NA,NA,10,NA,15.3,166,10.8,NA,"2015 A 1 high D2"
"117",2015,"A",1,"high","D3","biomass",534476.6,4510419,1,6.9,59.7,NA,NA,12,NA,13.7,149,10.9,NA,"2015 A 1 high D3"
"118",2015,"A",1,"high","D4","biomass_nitrogen",534475.4,4510419,1,7,52.3,NA,NA,10,NA,12.5,138,11,NA,"2015 A 1 high D4"
"119",2015,"A",1,"high","C1","control_1",534479,4510421,1,6.9,47.8,NA,NA,9,NA,12.6,139,11,NA,"2015 A 1 high C1"
"120",2015,"A",1,"high","C2","control_2",534494.2,4510359,1,6.9,74.6,NA,NA,7,NA,12.4,141,11.4,NA,"2015 A 1 high C2"
"121",2015,"A",3,"high","D1","biomass ",534506.3,4510141,1,7.2,54.5,NA,NA,11,NA,12.2,139,11.4,NA,"2015 A 3 high D1"
"122",2015,"A",3,"high","D2","biomass_nitrogen",534507.1,4510284,1,7.4,118.5,NA,NA,20,NA,15.1,169,11.2,NA,"2015 A 3 high D2"
"123",2015,"A",3,"high","D3","nitrogen",534507.2,4510281,1,7,94.1,NA,NA,11,NA,14.8,155,10.5,NA,"2015 A 3 high D3"
"124",2015,"A",3,"high","D4","rainout",534506.1,4510281,1,7.4,78.4,NA,NA,8,NA,13.4,154,11.6,NA,"2015 A 3 high D4"
"125",2015,"A",3,"high","C1","control_1",534509.6,4510282,1,7.1,82.3,NA,NA,14,NA,16.8,176,10.5,NA,"2015 A 3 high C1"
"126",2015,"A",3,"high","C2","control_2",534510.8,4510283,1,7.1,118.5,NA,NA,8,NA,15.1,220,14.6,NA,"2015 A 3 high C2"
"127",2015,"A",4,"low","D1","nitrogen",534520.2,4510216,1,7.9,50,NA,NA,16,NA,14,162,11.6,NA,"2015 A 4 low D1"
"128",2015,"A",4,"low","D2","rainout",534521.6,4510216,1,8,47.8,NA,NA,12,NA,15,181,12,NA,"2015 A 4 low D2"
"129",2015,"A",4,"low","D3","biomass_nitrogen",534521.6,4510214,1,8,45.5,NA,NA,16,NA,12.5,149,11.9,NA,"2015 A 4 low D3"
"130",2015,"A",4,"low","D4","biomass",534520.2,4510213,1,8,47.8,NA,NA,19,NA,14,163,11.7,NA,"2015 A 4 low D4"
"131",2015,"A",4,"low","C1","control_1",534524.3,4510215,1,8,74.6,NA,NA,15,NA,12.9,167,12.9,NA,"2015 A 4 low C1"
"132",2015,"A",4,"low","C2","control_2",534526.5,4510215,1,8,52.3,NA,NA,14,NA,14.6,183,12.5,NA,"2015 A 4 low C2"
