block,level,taxa,diversity,trt,cla_1,cla_2,cla_3,cla_4,cla_5,cla_avg,UTM_east,UTM_north
b,4,glyle,2,biomass_nitrogen,294,173,160,na,na,209,534601.1,4510276
b,4,glyle,2,control,294,332,300,300,306,306.4,534603,4510278
a,3,hemax,2,rainout,236,287,294,262,306,277,534506.1,4510281
a,3,hemax,2,biomass_nitrogen,363,332,338,370,338,348.2,534507.1,4510284
a,1,hemax,2,control,325,319,351,344,332,334.2,534479,4510421
a,3,hemax,2,control,281,325,306,243,325,296,534509.6,4510282
a,3,hemax,2,control,262,325,230,192,332,268.2,534509.6,4510282
a,1,hemax,2,control,294,255,306,306,300,292.2,534494.2,4510359
a,1,hemax,2,nitrogen,332,236,262,NA,NA,276.6666667,534474.9,4510421
a,1,hemax,2,nitrogen,306,306,370,389,376,360.25,534474.9,4510421
a,1,hemax,2,rainout,351,325,306,294,294,314,534476.4,4510422
b,4,hemax,2,rainout,313,313,294,281,313,302.8,534599.2,4510279
b,4,hemax,2,control,313,287,275,306,351,306.4,534603,4510278
c,2,hemax,2,rainout,363,300,357,NA,NA,340,534651.7,4510445
c,2,hemax,2,rainout,363,300,357,NA,NA,340,534651.7,4510445
c,2,hemax,2,nitrogen,395,401,363,NA,NA,386.3333333,534653.1,4510446
c,4,hemax,1,nitrogen,351,351,319,325,389,347,534684.9,4510315
c,4,hemax,2,rainout,351,376,414,351,376,373.6,534684,4510315
c,2,hemax,2,control,363,344,294,370,376,346.6666667,534655.4,4510447
a,3,mofi,2,rainout,167,217,198,205,211,199.6,534506.1,4510281
a,1,mofi,2,rainout,192,205,173,186,141,179.4,534476.4,4510422
a,1,mofi,2,control,179,211,186,186,173,187,534479,4510421
a,3,mofi,2,control,198,224,167,173,141,180.6,534510.8,4510283
a,1,mofi,2,control,122,167,167,135,135,145.2,534494.2,4510359
a,1,mofi,2,nitrogen,192,167,122,NA,NA,160.3333333,534474.9,4510421
b,4,mofi,2,control,192,129,169,169,122,156.2,534603,4510278
b,4,mofi,2,rainout,173,211,236,160,198,195.6,534599.2,4510279
b,4,mofi,2,biomass_nitrogen,53,129,141,129,135,117.4,534601.1,4510276
b,4,mofi,2,control,179,129,135,135,141,143.8,534603,4510278
c,2,mofi,2,rainout,160,230,198,179,230,199.4,534651.7,4510445
c,2,mofi,2,control,160,141,160,148,NA,152.25,534640.3,4510509
c,2,mofi,2,biomass_nitrogen,205,173,275,268,281,240.4,534650.7,4510448
c,2,mofi,2,rainout,160,230,198,179,230,199.4,534651.7,4510445
c,2,mofi,2,nitrogen,205,217,224,224,217,217.4,534653.1,4510446
c,2,mofi,2,control,160,173,186,116,116,150.2,534655.4,4510447
a,1,pavi,2,control,452,370,332,275,433,372.4,534494.2,4510359
c,2,pavi,2,rainout,382,294,268,376,300,324,534651.7,4510445
c,2,pavi,2,rainout,382,294,268,376,300,324,534651.7,4510445
c,2,pavi,2,nitrogen,427,439,446,490,420,444.4,534653.1,4510446
a,4,solidago,1,control,192,198,205,167,217,195.8,534524.3,4510215
a,4,solidago,1,control,262,217,205,198,211,207.75,534526.5,4510215
a,3,solidago,2,rainout,370,236,306,319,351,316.4,534506.1,4510281
a,3,solidago,2,biomass_nitrogen,294,249,279,243,268,266.6,534507.1,4510284
a,1,solidago,2,rainout,205,255,217,275,243,239,534476.4,4510422
a,4,solidago,1,nitrogen,275,236,243,186,255,239,534520.2,4510216
a,4,solidago,1,biomass ,268,205,141,154,154,184.4,534520.2,4510213
a,4,solidago,1,biomass_nitrogen,192,154,211,173,230,192,534521.6,4510214
a,4,solidago,1,rainout,249,294,224,243,205,243,534521.6,4510216
a,3,solidago,2,control,243,255,287,306,287,275.6,534510.8,4510283
a,1,solidago,2,control,230,198,198,167,179,194.4,534494.2,4510359
a,1,solidago,2,biomass_nitrogen,167,224,NA,NA,NA,195.5,534475.4,4510419
b,4,solidago,2,nitrogen,332,370,281,275,205,292.6,534600.6,4510279
b,4,solidago,2,control,243,249,249,249,262,250.4,534603,4510278
b,2,solidago,1,nitrogen,351,306,319,281,338,319,534571.4,4510403
b,2,solidago,1,nitrogen,224,198,268,NA,NA,230,534571.4,4510403
b,2,solidago,1,control,148,78,154,78,236,138.8,534351,4510403
b,4,solidago,2,rainout,230,192,224,224,167,207.4,534599.2,4510279
b,4,solidago,2,biomass,135,135,306,NA,NA,192,534599.2,4510276
b,2,solidago,1,biomass,154,129,122,103,198,141.2,534570,4510405
b,2,solidago,1,rainout,224,306,262,306,192,258,534569.8,4510403
c,2,solidago,2,nitrogen,268,287,255,179,160,229.8,534653.1,4510446
c,2,solidago,2,rainout,332,370,313,300,363,335.6,534651.7,4510445
c,2,solidago,2,biomass,110,281,324,198,363,255.2,534652.6,4510448
c,2,solidago,2,control,230,217,230,268,NA,236.25,534640.3,4510509
c,2,solidago,2,rainout,332,370,313,300,363,335.6,534651.7,4510445
c,1,solidago,1,biomass,129,186,249,NA,NA,188,534636.6,4510510
c,1,solidago,1,rainout,217,160,306,275,192,230,534636.9,4510507
c,1,solidago,1,biomass_nitrogen,186,249,205,186,NA,206.5,534638.1,4510508
c,1,solidago,1,nitrogen,249,224,281,319,294,273.4,534637.8,4510510
c,1,solidago,1,control,198,206,192,NA,NA,198.6666667,534640.3,4510509
c,1,solidago,1,control,217,300,205,255,249,245.2,534642.3,4510510
c,4,solidago,1,nitrogen,211,255,198,255,211,226,534684.9,4510315
c,4,solidago,1,biomass,173,198,NA,NA,NA,185.5,534685.8,4510313
c,4,solidago,2,rainout,306,287,325,306,248,294.4,534684,4510315
c,4,solidago,2,control,224,268,300,275,224,258.2,534687.3,4510314
c,4,solidago,1,control,160,141,255,300,255,222.2,534689.1,4510315
a,3,sonu,2,rainout,395,319,262,325,338,327.8,534506.1,4510281
a,3,sonu,2,biomass_nitrogen,395,439,471,414,553,454.4,534507.1,4510284
a,1,sonu,2,rainout,509,452,300,357,338,391.2,534476.4,4510422
a,1,sonu,2,control,465,433,414,376,382,414,534479,4510421
a,3,sonu,2,biomass_nitrogen,465,294,433,477,338,401.4,534507.1,4510284
a,3,sonu,2,control,389,414,446,357,325,386.2,534509.6,4510282
a,3,sonu,2,control,401,376,370,351,401,374,534510.8,4510283
a,1,sonu,2,nitrogen,401,604,420,344,376,429,534474.9,4510421
a,1,sonu,2,nitrogen,458,465,332,458,465,435.6,534474.9,4510421
a,1,sonu,2,biomass_nitrogen,446,534,489,420,414,460.6,534475.4,4510419
a,1,sonu,2,biomass,433,427,420,389,408,415.4,534476.6,4510419
b,4,sonu,2,nitrogen,522,401,427,439,433,444.4,534600.6,4510279
b,4,sonu,2,control,465,414,471,420,414,436.8,534603,4510278
b,4,sonu,2,rainout,357,370,395,275,287,336.8,534599.2,4510279
b,4,sonu,2,biomass,382,408,401,395,389,395,534599.2,4510276
b,4,sonu,2,biomass_nitrogen,458,395,401,420,338,388.5,534601.1,4510276
b,4,sonu,2,control,363,319,427,446,458,402.6,534603,4510278
c,2,sonu,1,biomass_nitrogen,477,414,452,408,458,433,534571.7,4510405
c,2,sonu,2,biomass,319,414,414,363,395,381,534652.6,4510448
c,2,sonu,2,rainout,433,370,446,414,484,429.4,534651.7,4510445
c,2,sonu,2,control,389,465,471,408,446,435.8,534640.3,4510509
c,2,sonu,2,rainout,433,370,446,414,484,429.4,534651.7,4510445
c,2,sonu,2,control,370,427,351,420,332,380,534655.4,4510447
