"","site","year","block","level","diversity","transect","quadrat","treat","bare","litter","unit"
"463","2016 a 3 2 D3 6",2016,"a",3,2,"D3",6,"nitrogen",3,62.5,"a 3 2 D3"
"464","2016 a 3 2 D3 7",2016,"a",3,2,"D3",7,"nitrogen",0,85,"a 3 2 D3"
"465","2016 a 3 2 D4 3",2016,"a",3,2,"D4",3,"rainout",0,97.5,"a 3 2 D4"
"466","2016 a 3 2 D4 5",2016,"a",3,2,"D4",5,"rainout",0,85,"a 3 2 D4"
"467","2016 a 3 2 D4 6",2016,"a",3,2,"D4",6,"rainout",0,97.5,"a 3 2 D4"
"468","2016 a 3 2 D4 8",2016,"a",3,2,"D4",8,"rainout",0,97.5,"a 3 2 D4"
"469","2016 a 3 2 O1 1",2016,"a",3,2,"O1",1,"no",3,85,"a 3 2 O1"
"470","2016 a 3 2 O1 2",2016,"a",3,2,"O1",2,"no",0,97.5,"a 3 2 O1"
"471","2016 a 3 2 O1 3",2016,"a",3,2,"O1",3,"no",0,97.5,"a 3 2 O1"
"472","2016 a 3 2 O1 4",2016,"a",3,2,"O1",4,"no",0,97.5,"a 3 2 O1"
"473","2016 a 3 2 O1 5",2016,"a",3,2,"O1",5,"no",0,97.5,"a 3 2 O1"
"474","2016 a 3 2 O1 6",2016,"a",3,2,"O1",6,"no",3,85,"a 3 2 O1"
"475","2016 a 3 2 O1 7",2016,"a",3,2,"O1",7,"no",0,85,"a 3 2 O1"
"476","2016 a 3 2 O1 8",2016,"a",3,2,"O1",8,"no",0,97.5,"a 3 2 O1"
"477","2016 a 3 2 O2 1",2016,"a",3,2,"O2",1,"no",0,85,"a 3 2 O2"
"478","2016 a 3 2 O2 2",2016,"a",3,2,"O2",2,"no",0,97.5,"a 3 2 O2"
"479","2016 a 3 2 O2 3",2016,"a",3,2,"O2",3,"no",0,85,"a 3 2 O2"
"480","2016 a 3 2 O2 4",2016,"a",3,2,"O2",4,"no",0,62.5,"a 3 2 O2"
"481","2016 a 3 2 O2 5",2016,"a",3,2,"O2",5,"no",0,85,"a 3 2 O2"
"482","2016 a 3 2 O2 6",2016,"a",3,2,"O2",6,"no",0,85,"a 3 2 O2"
"483","2016 a 3 2 O2 7",2016,"a",3,2,"O2",7,"no",0,97.5,"a 3 2 O2"
"484","2016 a 3 2 O2 8",2016,"a",3,2,"O2",8,"no",0,97.5,"a 3 2 O2"
"485","2016 a 3 2 O3 1",2016,"a",3,2,"O3",1,"no",0,97.5,"a 3 2 O3"
"486","2016 a 3 2 O3 2",2016,"a",3,2,"O3",2,"no",0,97.5,"a 3 2 O3"
"487","2016 a 3 2 O3 3",2016,"a",3,2,"O3",3,"no",0,85,"a 3 2 O3"
"488","2016 a 3 2 O3 4",2016,"a",3,2,"O3",4,"no",0,85,"a 3 2 O3"
"489","2016 a 3 2 O3 5",2016,"a",3,2,"O3",5,"no",0,97.5,"a 3 2 O3"
"490","2016 a 3 2 O3 6",2016,"a",3,2,"O3",6,"no",0,85,"a 3 2 O3"
"491","2016 a 3 2 O3 7",2016,"a",3,2,"O3",7,"no",0,85,"a 3 2 O3"
"492","2016 a 3 2 O3 8",2016,"a",3,2,"O3",8,"no",0,85,"a 3 2 O3"
"493","2016 a 3 2 O4 1",2016,"a",3,2,"O4",1,"no",0,97.5,"a 3 2 O4"
"494","2016 a 3 2 O4 2",2016,"a",3,2,"O4",2,"no",0,85,"a 3 2 O4"
"495","2016 a 3 2 O4 3",2016,"a",3,2,"O4",3,"no",0,97.5,"a 3 2 O4"
"496","2016 a 3 2 O4 4",2016,"a",3,2,"O4",4,"no",0,62.5,"a 3 2 O4"
"497","2016 a 3 2 O4 5",2016,"a",3,2,"O4",5,"no",0,97.5,"a 3 2 O4"
"498","2016 a 3 2 O4 6",2016,"a",3,2,"O4",6,"no",0,97.5,"a 3 2 O4"
"499","2016 a 3 2 O4 7",2016,"a",3,2,"O4",7,"no",0,85,"a 3 2 O4"
"500","2016 a 3 2 O4 8",2016,"a",3,2,"O4",8,"no",0,97.5,"a 3 2 O4"
"501","2016 a 4 1 C1 1",2016,"a",4,1,"C1",1,"control",15,62.5,"a 4 1 C1"
"502","2016 a 4 1 C1 3",2016,"a",4,1,"C1",3,"control",3,85,"a 4 1 C1"
"503","2016 a 4 1 C1 5",2016,"a",4,1,"C1",5,"control",0,97.5,"a 4 1 C1"
"504","2016 a 4 1 C1 6",2016,"a",4,1,"C1",6,"control",0,97.5,"a 4 1 C1"
"505","2016 a 4 1 C2 3",2016,"a",4,1,"C2",3,"control",0,97.5,"a 4 1 C2"
"506","2016 a 4 1 C2 4",2016,"a",4,1,"C2",4,"control",0,85,"a 4 1 C2"
"507","2016 a 4 1 C2 5",2016,"a",4,1,"C2",5,"control",0,85,"a 4 1 C2"
"508","2016 a 4 1 C2 6",2016,"a",4,1,"C2",6,"control",0,97.5,"a 4 1 C2"
"509","2016 a 4 1 D1 1",2016,"a",4,1,"D1",1,"nitrogen",0,97.5,"a 4 1 D1"
"510","2016 a 4 1 D1 3",2016,"a",4,1,"D1",3,"nitrogen",0,97.5,"a 4 1 D1"
"511","2016 a 4 1 D1 7",2016,"a",4,1,"D1",7,"nitrogen",0,97.5,"a 4 1 D1"
"512","2016 a 4 1 D1 8",2016,"a",4,1,"D1",8,"nitrogen",0,97.5,"a 4 1 D1"
"513","2016 a 4 1 D2 3",2016,"a",4,1,"D2",3,"rainout",0,97.5,"a 4 1 D2"
"514","2016 a 4 1 D2 6",2016,"a",4,1,"D2",6,"rainout",0,97.5,"a 4 1 D2"
"515","2016 a 4 1 D2 7",2016,"a",4,1,"D2",7,"rainout",0,85,"a 4 1 D2"
"516","2016 a 4 1 D2 8",2016,"a",4,1,"D2",8,"rainout",0,97.5,"a 4 1 D2"
"517","2016 a 4 1 D3 4",2016,"a",4,1,"D3",4,"biomass_nitrogen",3,62.5,"a 4 1 D3"
"518","2016 a 4 1 D3 5",2016,"a",4,1,"D3",5,"biomass_nitrogen",0,97.5,"a 4 1 D3"
"519","2016 a 4 1 D3 6",2016,"a",4,1,"D3",6,"biomass_nitrogen",62.5,37.5,"a 4 1 D3"
"520","2016 a 4 1 D3 8",2016,"a",4,1,"D3",8,"biomass_nitrogen",0,97.5,"a 4 1 D3"
"521","2016 a 4 1 D4 2",2016,"a",4,1,"D4",2,"biomass",0,97.5,"a 4 1 D4"
"522","2016 a 4 1 D4 6",2016,"a",4,1,"D4",6,"biomass",3,85,"a 4 1 D4"
"523","2016 a 4 1 D4 7",2016,"a",4,1,"D4",7,"biomass",0,97.5,"a 4 1 D4"
"524","2016 a 4 1 D4 8",2016,"a",4,1,"D4",8,"biomass",0,97.5,"a 4 1 D4"
"525","2016 a 4 1 O1 1",2016,"a",4,1,"O1",1,"no",0,97.5,"a 4 1 O1"
"526","2016 a 4 1 O1 2",2016,"a",4,1,"O1",2,"no",0,97.5,"a 4 1 O1"
"527","2016 a 4 1 O1 3",2016,"a",4,1,"O1",3,"no",0,97.5,"a 4 1 O1"
"528","2016 a 4 1 O1 4",2016,"a",4,1,"O1",4,"no",0,85,"a 4 1 O1"
"529","2016 a 4 1 O1 5",2016,"a",4,1,"O1",5,"no",0,97.5,"a 4 1 O1"
"530","2016 a 4 1 O1 6",2016,"a",4,1,"O1",6,"no",0,97.5,"a 4 1 O1"
"531","2016 a 4 1 O1 7",2016,"a",4,1,"O1",7,"no",0,97.5,"a 4 1 O1"
"532","2016 a 4 1 O1 8",2016,"a",4,1,"O1",8,"no",0,97.5,"a 4 1 O1"
"533","2016 a 4 1 O2 1",2016,"a",4,1,"O2",1,"no",0,97.5,"a 4 1 O2"
"534","2016 a 4 1 O2 2",2016,"a",4,1,"O2",2,"no",0,97.5,"a 4 1 O2"
"535","2016 a 4 1 O2 3",2016,"a",4,1,"O2",3,"no",0,97.5,"a 4 1 O2"
"536","2016 a 4 1 O2 4",2016,"a",4,1,"O2",4,"no",0,97.5,"a 4 1 O2"
"537","2016 a 4 1 O2 5",2016,"a",4,1,"O2",5,"no",0,97.5,"a 4 1 O2"
"538","2016 a 4 1 O2 6",2016,"a",4,1,"O2",6,"no",0,97.5,"a 4 1 O2"
"539","2016 a 4 1 O2 7",2016,"a",4,1,"O2",7,"no",0,97.5,"a 4 1 O2"
"540","2016 a 4 1 O2 8",2016,"a",4,1,"O2",8,"no",0,97.5,"a 4 1 O2"
"541","2016 a 4 1 O3 1",2016,"a",4,1,"O3",1,"no",0,97.5,"a 4 1 O3"
"542","2016 a 4 1 O3 2",2016,"a",4,1,"O3",2,"no",0,62.5,"a 4 1 O3"
"543","2016 a 4 1 O3 3",2016,"a",4,1,"O3",3,"no",0,97.5,"a 4 1 O3"
"544","2016 a 4 1 O3 4",2016,"a",4,1,"O3",4,"no",0,97.5,"a 4 1 O3"
"545","2016 a 4 1 O3 5",2016,"a",4,1,"O3",5,"no",0,97.5,"a 4 1 O3"
"546","2016 a 4 1 O3 6",2016,"a",4,1,"O3",6,"no",0,97.5,"a 4 1 O3"
"547","2016 a 4 1 O3 7",2016,"a",4,1,"O3",7,"no",15,62.5,"a 4 1 O3"
"548","2016 a 4 1 O3 8",2016,"a",4,1,"O3",8,"no",0,97.5,"a 4 1 O3"
"549","2016 a 4 1 O4 1",2016,"a",4,1,"O4",1,"no",0,97.5,"a 4 1 O4"
"550","2016 a 4 1 O4 2",2016,"a",4,1,"O4",2,"no",0,85,"a 4 1 O4"
"551","2016 a 4 1 O4 3",2016,"a",4,1,"O4",3,"no",0,85,"a 4 1 O4"
"552","2016 a 4 1 O4 4",2016,"a",4,1,"O4",4,"no",0,97.5,"a 4 1 O4"
"553","2016 a 4 1 O4 5",2016,"a",4,1,"O4",5,"no",0,97.5,"a 4 1 O4"
"554","2016 a 4 1 O4 6",2016,"a",4,1,"O4",6,"no",0,97.5,"a 4 1 O4"
"555","2016 a 4 1 O4 7",2016,"a",4,1,"O4",7,"no",0,97.5,"a 4 1 O4"
"556","2016 a 4 1 O4 8",2016,"a",4,1,"O4",8,"no",0,97.5,"a 4 1 O4"
"557","2016 b 2 1 C1 2",2016,"b",2,1,"C1",2,"control",0,85,"b 2 1 C1"
"558","2016 b 2 1 C1 5",2016,"b",2,1,"C1",5,"control",0,97.5,"b 2 1 C1"
"559","2016 b 2 1 C1 6",2016,"b",2,1,"C1",6,"control",0,97.5,"b 2 1 C1"
"560","2016 b 2 1 C1 7",2016,"b",2,1,"C1",7,"control",0,97.5,"b 2 1 C1"
"561","2016 b 2 1 C2 2",2016,"b",2,1,"C2",2,"control",0,97.5,"b 2 1 C2"
"562","2016 b 2 1 C2 5",2016,"b",2,1,"C2",5,"control",0,97.5,"b 2 1 C2"
"563","2016 b 2 1 C2 7",2016,"b",2,1,"C2",7,"control",0,97.5,"b 2 1 C2"
"564","2016 b 2 1 C2 8",2016,"b",2,1,"C2",8,"control",0,97.5,"b 2 1 C2"
"565","2016 b 2 1 D1 1",2016,"b",2,1,"D1",1,"biomass",0,97.5,"b 2 1 D1"
"566","2016 b 2 1 D1 4",2016,"b",2,1,"D1",4,"biomass",0,97.5,"b 2 1 D1"
"567","2016 b 2 1 D1 7",2016,"b",2,1,"D1",7,"biomass",0,97.5,"b 2 1 D1"
"568","2016 b 2 1 D1 8",2016,"b",2,1,"D1",8,"biomass",0,97.5,"b 2 1 D1"
"569","2016 b 2 1 D2 1",2016,"b",2,1,"D2",1,"biomass_nitrogen",0,97.5,"b 2 1 D2"
"570","2016 b 2 1 D2 5",2016,"b",2,1,"D2",5,"biomass_nitrogen",0,97.5,"b 2 1 D2"
"571","2016 b 2 1 D2 6",2016,"b",2,1,"D2",6,"biomass_nitrogen",0,97.5,"b 2 1 D2"
"572","2016 b 2 1 D2 8",2016,"b",2,1,"D2",8,"biomass_nitrogen",0,85,"b 2 1 D2"
"573","2016 b 2 1 D3 2",2016,"b",2,1,"D3",2,"nitrogen",0,97.5,"b 2 1 D3"
"574","2016 b 2 1 D3 4",2016,"b",2,1,"D3",4,"nitrogen",0,97.5,"b 2 1 D3"
"575","2016 b 2 1 D3 5",2016,"b",2,1,"D3",5,"nitrogen",0,97.5,"b 2 1 D3"
"576","2016 b 2 1 D3 8",2016,"b",2,1,"D3",8,"nitrogen",0,97.5,"b 2 1 D3"
"577","2016 b 2 1 D4 3",2016,"b",2,1,"D4",3,"rainout",0,97.5,"b 2 1 D4"
"578","2016 b 2 1 D4 5",2016,"b",2,1,"D4",5,"rainout",3,85,"b 2 1 D4"
"579","2016 b 2 1 D4 6",2016,"b",2,1,"D4",6,"rainout",0,97.5,"b 2 1 D4"
"580","2016 b 2 1 D4 7",2016,"b",2,1,"D4",7,"rainout",3,85,"b 2 1 D4"
"581","2016 b 2 1 O1 1",2016,"b",2,1,"O1",1,"no",0,97.5,"b 2 1 O1"
"582","2016 b 2 1 O1 2",2016,"b",2,1,"O1",2,"no",0,97.5,"b 2 1 O1"
"583","2016 b 2 1 O1 3",2016,"b",2,1,"O1",3,"no",0,97.5,"b 2 1 O1"
"584","2016 b 2 1 O1 4",2016,"b",2,1,"O1",4,"no",0,97.5,"b 2 1 O1"
"585","2016 b 2 1 O1 5",2016,"b",2,1,"O1",5,"no",0,97.5,"b 2 1 O1"
"586","2016 b 2 1 O1 6",2016,"b",2,1,"O1",6,"no",0,97.5,"b 2 1 O1"
"587","2016 b 2 1 O1 7",2016,"b",2,1,"O1",7,"no",0,97.5,"b 2 1 O1"
"588","2016 b 2 1 O1 8",2016,"b",2,1,"O1",8,"no",0,97.5,"b 2 1 O1"
"589","2016 b 2 1 O2 1",2016,"b",2,1,"O2",1,"no",0,97.5,"b 2 1 O2"
"590","2016 b 2 1 O2 2",2016,"b",2,1,"O2",2,"no",0,97.5,"b 2 1 O2"
"591","2016 b 2 1 O2 3",2016,"b",2,1,"O2",3,"no",0,97.5,"b 2 1 O2"
"592","2016 b 2 1 O2 4",2016,"b",2,1,"O2",4,"no",0,97.5,"b 2 1 O2"
"593","2016 b 2 1 O2 5",2016,"b",2,1,"O2",5,"no",0,97.5,"b 2 1 O2"
"594","2016 b 2 1 O2 6",2016,"b",2,1,"O2",6,"no",0,97.5,"b 2 1 O2"
"595","2016 b 2 1 O2 7",2016,"b",2,1,"O2",7,"no",0,85,"b 2 1 O2"
"596","2016 b 2 1 O2 8",2016,"b",2,1,"O2",8,"no",0,97.5,"b 2 1 O2"
"597","2016 b 2 1 O3 1",2016,"b",2,1,"O3",1,"no",0,85,"b 2 1 O3"
"598","2016 b 2 1 O3 2",2016,"b",2,1,"O3",2,"no",0,97.5,"b 2 1 O3"
"599","2016 b 2 1 O3 3",2016,"b",2,1,"O3",3,"no",0,97.5,"b 2 1 O3"
"600","2016 b 2 1 O3 4",2016,"b",2,1,"O3",4,"no",0,97.5,"b 2 1 O3"
"601","2016 b 2 1 O3 5",2016,"b",2,1,"O3",5,"no",0,97.5,"b 2 1 O3"
"602","2016 b 2 1 O3 6",2016,"b",2,1,"O3",6,"no",0,97.5,"b 2 1 O3"
"603","2016 b 2 1 O3 7",2016,"b",2,1,"O3",7,"no",0,97.5,"b 2 1 O3"
"604","2016 b 2 1 O3 8",2016,"b",2,1,"O3",8,"no",0,97.5,"b 2 1 O3"
"605","2016 b 2 1 O4 1",2016,"b",2,1,"O4",1,"no",0,97.5,"b 2 1 O4"
"606","2016 b 2 1 O4 2",2016,"b",2,1,"O4",2,"no",0,97.5,"b 2 1 O4"
"607","2016 b 2 1 O4 3",2016,"b",2,1,"O4",3,"no",0,97.5,"b 2 1 O4"
"608","2016 b 2 1 O4 4",2016,"b",2,1,"O4",4,"no",0,97.5,"b 2 1 O4"
"609","2016 b 2 1 O4 5",2016,"b",2,1,"O4",5,"no",0,97.5,"b 2 1 O4"
"610","2016 b 2 1 O4 6",2016,"b",2,1,"O4",6,"no",0,85,"b 2 1 O4"
"611","2016 b 2 1 O4 7",2016,"b",2,1,"O4",7,"no",0,97.5,"b 2 1 O4"
"612","2016 b 2 1 O4 8",2016,"b",2,1,"O4",8,"no",0,97.5,"b 2 1 O4"
"613","2016 b 4 2 C1 2",2016,"b",4,2,"C1",2,"control",0,97.5,"b 4 2 C1"
"614","2016 b 4 2 C1 5",2016,"b",4,2,"C1",5,"control",0,97.5,"b 4 2 C1"
"615","2016 b 4 2 C1 6",2016,"b",4,2,"C1",6,"control",0,97.5,"b 4 2 C1"
"616","2016 b 4 2 C1 7",2016,"b",4,2,"C1",7,"control",0,97.5,"b 4 2 C1"
"617","2016 b 4 2 C2 1",2016,"b",4,2,"C2",1,"control",0,97.5,"b 4 2 C2"
"618","2016 b 4 2 C2 2",2016,"b",4,2,"C2",2,"control",0,0,"b 4 2 C2"
"619","2016 b 4 2 C2 3",2016,"b",4,2,"C2",3,"control",0,97.5,"b 4 2 C2"
"620","2016 b 4 2 C2 7",2016,"b",4,2,"C2",7,"control",0,97.5,"b 4 2 C2"
"621","2016 b 4 2 D1 3",2016,"b",4,2,"D1",3,"rainout",0,97.5,"b 4 2 D1"
"622","2016 b 4 2 D1 4",2016,"b",4,2,"D1",4,"rainout",0,85,"b 4 2 D1"
"623","2016 b 4 2 D1 5",2016,"b",4,2,"D1",5,"rainout",0,97.5,"b 4 2 D1"
"624","2016 b 4 2 D1 7",2016,"b",4,2,"D1",7,"rainout",0,85,"b 4 2 D1"
"625","2016 b 4 2 D2 1",2016,"b",4,2,"D2",1,"nitrogen",0,85,"b 4 2 D2"
"626","2016 b 4 2 D2 4",2016,"b",4,2,"D2",4,"nitrogen",3,62.5,"b 4 2 D2"
"627","2016 b 4 2 D2 6",2016,"b",4,2,"D2",6,"nitrogen",0,97.5,"b 4 2 D2"
"628","2016 b 4 2 D2 7",2016,"b",4,2,"D2",7,"nitrogen",0,97.5,"b 4 2 D2"
"629","2016 b 4 2 D3 5",2016,"b",4,2,"D3",5,"biomass_nitrogen",0,85,"b 4 2 D3"
"630","2016 b 4 2 D3 7",2016,"b",4,2,"D3",7,"biomass_nitrogen",0,85,"b 4 2 D3"
"631","2016 b 4 2 D3 8",2016,"b",4,2,"D3",8,"biomass_nitrogen",0,62.5,"b 4 2 D3"
"632","2016 b 4 2 D4 4",2016,"b",4,2,"D4",4,"biomass",0,97.5,"b 4 2 D4"
"633","2016 b 4 2 D4 6",2016,"b",4,2,"D4",6,"biomass",0,97.5,"b 4 2 D4"
"634","2016 b 4 2 O1 1",2016,"b",4,2,"O1",1,"no",0,97.5,"b 4 2 O1"
"635","2016 b 4 2 O1 2",2016,"b",4,2,"O1",2,"no",0,97.5,"b 4 2 O1"
"636","2016 b 4 2 O1 3",2016,"b",4,2,"O1",3,"no",0,97.5,"b 4 2 O1"
"637","2016 b 4 2 O1 4",2016,"b",4,2,"O1",4,"no",0,97.5,"b 4 2 O1"
"638","2016 b 4 2 O1 5",2016,"b",4,2,"O1",5,"no",0,97.5,"b 4 2 O1"
"639","2016 b 4 2 O1 6",2016,"b",4,2,"O1",6,"no",0,97.5,"b 4 2 O1"
"640","2016 b 4 2 O1 7",2016,"b",4,2,"O1",7,"no",0,97.5,"b 4 2 O1"
"641","2016 b 4 2 O1 8",2016,"b",4,2,"O1",8,"no",0,62.5,"b 4 2 O1"
"642","2016 b 4 2 O2 1",2016,"b",4,2,"O2",1,"no",3,85,"b 4 2 O2"
"643","2016 b 4 2 O2 2",2016,"b",4,2,"O2",2,"no",0,97.5,"b 4 2 O2"
"644","2016 b 4 2 O2 3",2016,"b",4,2,"O2",3,"no",3,85,"b 4 2 O2"
"645","2016 b 4 2 O2 4",2016,"b",4,2,"O2",4,"no",0,62.5,"b 4 2 O2"
"646","2016 b 4 2 O2 5",2016,"b",4,2,"O2",5,"no",3,85,"b 4 2 O2"
"647","2016 b 4 2 O2 6",2016,"b",4,2,"O2",6,"no",0,97.5,"b 4 2 O2"
"648","2016 b 4 2 O2 7",2016,"b",4,2,"O2",7,"no",0,85,"b 4 2 O2"
"649","2016 b 4 2 O2 8",2016,"b",4,2,"O2",8,"no",3,0,"b 4 2 O2"
"650","2016 b 4 2 O3 1",2016,"b",4,2,"O3",1,"no",0,62.5,"b 4 2 O3"
"651","2016 b 4 2 O3 2",2016,"b",4,2,"O3",2,"no",15,62.5,"b 4 2 O3"
